beta=0.50
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.461751,0.003630,0.459769,0.004476,0.395946,0.003861,0.023524,0.000211  
2,0.212748,0.005002,0.207636,0.009506,0.146306,0.004859,0.002317,0.013436  
3,0.097801,0.005269,0.094984,0.005861,0.052957,0.007352,-0.002279,0.009326  
4,0.044730,0.005068,0.042274,0.007718,0.021025,0.005708,0.001609,0.010467  
5,0.020651,0.005484,0.019934,0.004913,0.007870,0.005296,0.000740,0.009493  
6,0.009419,0.005815,0.009751,0.006052,0.002790,0.006361,-0.001364,0.009512  
7,0.004091,0.005954,0.004368,0.004300,0.000897,0.004706,0.001577,0.008281  
8,0.002197,0.005598,0.001943,0.006051,0.000232,0.004740,-0.001246,0.008332  
9,0.001089,0.005721,0.000886,0.004470,0.000170,0.006479,-0.000271,0.008890  
10,0.000408,0.006037,0.000338,0.005570,0.000360,0.004498,0.001215,0.007404  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.462365,0.003466,0.462312,0.004444,0.398396,0.003620,0.003499,0.000244  
2,0.213795,0.004865,0.214154,0.010097,0.149264,0.004458,0.004800,0.011181  
3,0.099255,0.005100,0.098975,0.005705,0.053431,0.007156,-0.001613,0.010419  
4,0.046412,0.004978,0.045504,0.006443,0.021768,0.005502,0.000481,0.010097  
5,0.021619,0.005142,0.020926,0.004555,0.008562,0.005395,0.001102,0.008341  
6,0.009914,0.005469,0.010714,0.006068,0.003053,0.006595,0.000319,0.008434  
7,0.004705,0.005700,0.005221,0.004317,0.001527,0.004403,0.000628,0.008025  
8,0.002214,0.005166,0.002775,0.005342,0.000752,0.004705,-0.001745,0.009403  
9,0.000827,0.005338,0.001148,0.004029,-0.000517,0.006424,0.001144,0.008033  
10,0.000568,0.005134,0.000757,0.005399,-0.000905,0.004985,-0.000619,0.009723  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.462766,0.003363,0.463146,0.004629,0.397829,0.003919,0.051500,0.000220  
2,0.214200,0.004326,0.215735,0.009728,0.147768,0.004936,0.003181,0.014141  
3,0.099319,0.004845,0.100078,0.006163,0.051814,0.006970,0.000632,0.009793  
4,0.045532,0.005655,0.046707,0.006853,0.020042,0.005405,-0.000623,0.009271  
5,0.020870,0.006057,0.021818,0.004491,0.007099,0.005280,0.000336,0.009583  
6,0.009361,0.006367,0.010312,0.005940,0.002810,0.006329,-0.000734,0.009028  
7,0.003655,0.006255,0.004603,0.004425,0.001214,0.004472,-0.000102,0.008720  
