beta=0.30
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
5,0.001760,0.004323,0.002048,0.003757,0.000174,0.004590,-0.001444,0.006748  
6,0.000591,0.004298,0.000634,0.005588,0.000877,0.006345,-0.000302,0.007377  
7,0.000870,0.003796,0.000109,0.003368,0.000215,0.003566,0.000143,0.006852  
8,0.000590,0.003938,0.000106,0.005238,0.000162,0.003781,-0.000575,0.007530  
9,-0.000416,0.004188,-0.000053,0.003397,0.000339,0.005547,0.000120,0.006871  
10,0.000005,0.003873,0.000136,0.005609,0.000206,0.003645,0.000232,0.005730  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291169,0.003390,0.291368,0.003457,0.254248,0.003811,-0.012905,0.000384  
2,0.084963,0.004366,0.084633,0.009328,0.059800,0.004898,-0.000378,0.013920  
3,0.025010,0.004020,0.024743,0.004817,0.014495,0.007022,0.000967,0.009348  
4,0.007132,0.003810,0.008018,0.006256,0.004072,0.004545,-0.000292,0.008417  
5,0.002866,0.003964,0.002509,0.003419,0.000976,0.003818,0.000164,0.007754  
6,0.001104,0.004049,0.000938,0.005154,0.000214,0.005284,-0.000888,0.006822  
7,0.000160,0.004133,0.000745,0.003514,0.000259,0.004158,0.000419,0.007926  
8,-0.000134,0.004011,0.000754,0.005229,0.000191,0.003956,0.000505,0.008231  
9,-0.000105,0.003993,0.000117,0.003735,0.000609,0.005749,0.001118,0.008068  
10,-0.000334,0.004335,0.000319,0.005281,0.000072,0.004141,0.000161,0.006752  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.291132,0.003862,0.292002,0.003787,0.262946,0.003532,0.015070,0.000408  
2,0.084713,0.003923,0.086630,0.009799,0.067203,0.004654,0.005852,0.011335  
3,0.025069,0.003857,0.025122,0.004271,0.015074,0.006906,-0.000429,0.008609  
4,0.007017,0.004129,0.007514,0.006023,0.003707,0.004480,-0.000490,0.007703  
5,0.001653,0.004036,0.002504,0.003691,0.000748,0.004554,0.000449,0.007539  
6,0.000167,0.003751,0.001189,0.005350,-0.000227,0.005934,-0.000011,0.007319  
7,-0.000430,0.003614,0.000376,0.003437,0.000110,0.003968,0.000189,0.006631  
8,-0.000514,0.004196,0.001064,0.004820,-0.000342,0.003516,-0.000682,0.007040  
9,-0.000393,0.004007,0.000656,0.003314,0.000069,0.005819,0.000314,0.007182  
10,-0.000481,0.004194,0.000586,0.006558,0.000131,0.003549,0.000229,0.007636  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.290667,0.003565,0.292426,0.003697,0.252020,0.003600,-0.024860,0.000357  
2,0.084426,0.003774,0.088559,0.010488,0.058335,0.004407,-0.000985,0.010408  
3,0.024758,0.003903,0.026373,0.004220,0.012454,0.007688,-0.000744,0.007662  
4,0.007590,0.004192,0.007944,0.005799,0.003156,0.004288,-0.000766,0.007103  
5,0.002858,0.004224,0.002222,0.003337,0.001024,0.003675,0.001520,0.007617  
6,0.001324,0.004102,0.001002,0.006397,0.000375,0.006627,-0.000252,0.007116  
7,0.000794,0.004319,0.000274,0.003593,0.000569,0.003678,-0.000286,0.007342  
8,0.000086,0.004014,-0.000589,0.005510,0.000469,0.003421,0.000055,0.007625  
9,-0.000265,0.004128,0.000162,0.003128,-0.000428,0.005426,-0.000625,0.007513  
10,0.000096,0.004253,0.000711,0.004828,-0.000012,0.003930,0.000967,0.007831  
