beta=0.40
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379898,0.003530,0.379532,0.004388,0.335422,0.003727,0.007320,0.000296  
2,0.144678,0.004368,0.143836,0.010979,0.107323,0.004428,0.000420,0.014453  
3,0.055134,0.004618,0.054954,0.005868,0.032832,0.005628,0.000467,0.008222  
4,0.021188,0.004661,0.020786,0.006572,0.010815,0.004115,-0.000235,0.008480  
5,0.008866,0.005307,0.007532,0.003846,0.003054,0.004319,0.000273,0.007964  
6,0.004273,0.005221,0.002195,0.005412,0.001244,0.005829,0.000273,0.007784  
7,0.002231,0.004786,0.000594,0.003806,0.000706,0.004141,0.000136,0.008561  
8,0.000965,0.005325,-0.000392,0.005237,0.000432,0.004398,0.000077,0.007701  
9,0.000402,0.004867,-0.000073,0.003669,-0.000158,0.005958,-0.000008,0.007652  
10,0.000179,0.005227,0.000424,0.005492,-0.000093,0.004376,-0.000775,0.007500  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.380090,0.003427,0.379541,0.004744,0.325049,0.003756,-0.008647,0.000319  
2,0.144452,0.004132,0.144964,0.010800,0.096772,0.004689,0.002659,0.015058  
3,0.054419,0.004434,0.055536,0.005383,0.026817,0.007710,-0.001368,0.009490  
4,0.020349,0.004316,0.021126,0.005993,0.009283,0.004321,0.001869,0.009912  
5,0.007546,0.005011,0.007624,0.003882,0.002886,0.004322,0.000009,0.008301  
6,0.002622,0.005226,0.002107,0.005539,0.001139,0.005542,0.000602,0.008249  
7,0.001442,0.005217,0.000561,0.003499,0.001147,0.004283,-0.000056,0.008472  
8,0.000985,0.004709,-0.000019,0.005528,0.000306,0.004235,0.000260,0.008468  
9,0.000106,0.004661,-0.000810,0.003711,-0.000988,0.005447,-0.001274,0.008525  
10,0.000007,0.003858,-0.001195,0.006233,-0.000909,0.004114,0.000550,0.008691  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.380285,0.004007,0.379989,0.003813,0.316170,0.003732,0.031275,0.000302  
2,0.143898,0.005187,0.144885,0.008612,0.088681,0.004473,0.001863,0.011913  
3,0.054037,0.004799,0.055286,0.004758,0.023076,0.008053,-0.000831,0.008530  
4,0.020082,0.004806,0.021533,0.005982,0.007099,0.004888,0.000374,0.009974  
5,0.007559,0.004740,0.007969,0.003665,0.001874,0.004905,-0.000212,0.008537  
6,0.002646,0.004657,0.002802,0.005614,0.000704,0.006860,-0.000742,0.007646  
7,0.000997,0.004501,0.001390,0.003699,0.000219,0.004239,0.000533,0.007743  
8,0.000251,0.005067,0.001017,0.005951,-0.000009,0.004144,-0.000313,0.006554  
9,-0.000136,0.004765,0.000403,0.003857,-0.000083,0.005777,0.001296,0.006906  
10,-0.000255,0.004184,0.001137,0.004982,0.000377,0.003689,-0.000454,0.007815  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379975,0.003415,0.380178,0.004440,0.333240,0.003500,0.039250,0.000291  
2,0.144364,0.003986,0.145002,0.010321,0.104343,0.004798,-0.002370,0.012675  
3,0.054614,0.004111,0.054966,0.005332,0.031108,0.007128,-0.002133,0.009349  
4,0.020621,0.004287,0.021039,0.006544,0.010518,0.004517,0.000055,0.007769  
5,0.007360,0.004618,0.008210,0.004321,0.003293,0.003952,-0.000124,0.008300  
6,0.002178,0.005087,0.003293,0.006398,0.000856,0.005893,0.000264,0.008139  
7,0.000249,0.005113,0.001260,0.004267,-0.000016,0.004335,-0.001023,0.007076  
8,-0.000132,0.004828,-0.000185,0.005859,-0.000058,0.004576,0.001026,0.007651  
9,-0.000276,0.004312,0.000078,0.003749,0.000086,0.005316,0.000175,0.006697  
10,-0.000359,0.004282,0.000410,0.005439,-0.000083,0.004307,0.000521,0.006428  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379668,0.003892,0.380135,0.004754,0.328431,0.003623,0.031316,0.000277  
2,0.144417,0.004285,0.145193,0.010992,0.100229,0.004808,0.002454,0.012470  
3,0.054525,0.004664,0.055394,0.005947,0.027892,0.007279,-0.000283,0.009431  
4,0.020443,0.004221,0.021262,0.006889,0.008954,0.004412,0.002279,0.008949  
5,0.007186,0.004414,0.007513,0.003991,0.002680,0.004145,-0.001136,0.007312  
6,0.002390,0.004776,0.001947,0.005748,0.001660,0.005595,0.000852,0.007185  
7,0.000935,0.005047,0.000880,0.003882,0.001128,0.004355,0.001151,0.007449  
8,0.000185,0.004791,0.000217,0.005589,0.000881,0.004361,-0.001744,0.007892  
9,0.000203,0.004606,0.000118,0.003624,0.000370,0.005655,-0.000501,0.007409  
10,0.000014,0.004224,0.000689,0.005483,-0.001141,0.003858,0.000786,0.007242  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379961,0.003389,0.379699,0.004345,0.325606,0.003722,0.055262,0.000371  
2,0.144098,0.003866,0.143762,0.010001,0.097429,0.004791,0.003146,0.011118  
3,0.054326,0.004187,0.054840,0.005258,0.027394,0.008004,0.001957,0.010403  
4,0.020521,0.004264,0.021851,0.005970,0.009226,0.004629,-0.000488,0.006990  
5,0.007256,0.004258,0.008340,0.003867,0.003112,0.004306,-0.000555,0.007315  
6,0.002383,0.004527,0.003335,0.005645,0.001694,0.005291,0.000000,0.007034  
7,0.000647,0.004416,0.001144,0.003578,0.000504,0.004421,-0.001069,0.006974  
8,0.000502,0.004056,-0.000109,0.005608,-0.000056,0.004338,0.000576,0.007610  
9,0.000138,0.004116,-0.000705,0.003889,-0.000285,0.005508,0.000464,0.006912  
10,0.000522,0.004229,-0.000909,0.005474,-0.000104,0.004075,-0.000551,0.006667  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379648,0.003302,0.380518,0.004391,0.306802,0.004293,-0.036652,0.000268  
2,0.144181,0.004244,0.146685,0.010117,0.080151,0.005205,0.000697,0.011392  
3,0.054752,0.004682,0.055602,0.004539,0.021594,0.008095,-0.000233,0.009617  
4,0.020892,0.004730,0.021084,0.006082,0.007294,0.004895,0.000668,0.009227  
5,0.008210,0.004388,0.008005,0.004091,0.001959,0.004298,0.000672,0.008350  
6,0.003562,0.004594,0.003282,0.005368,-0.000008,0.006307,-0.001148,0.008130  
7,0.001829,0.005069,0.001381,0.003450,0.000307,0.004031,0.000534,0.008116  
8,0.000953,0.005038,-0.000025,0.005277,0.000042,0.004513,-0.001188,0.007986  
9,0.000086,0.004878,-0.000424,0.003678,-0.000182,0.005791,0.000346,0.008763  
10,-0.000266,0.004819,-0.000592,0.005627,-0.001141,0.003974,0.000024,0.007780  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.380129,0.003572,0.380424,0.004533,0.335598,0.004184,0.039308,0.000279  
2,0.144152,0.004481,0.145987,0.011248,0.106808,0.004859,-0.000128,0.011680  
3,0.054180,0.004373,0.055966,0.005775,0.033254,0.007549,0.000882,0.009498  
4,0.019838,0.004563,0.021243,0.006565,0.011204,0.004565,-0.000481,0.008133  
5,0.007287,0.004245,0.007920,0.003935,0.004011,0.004579,-0.000442,0.007996  
6,0.002636,0.004383,0.003074,0.005528,0.002047,0.006452,-0.000107,0.007350  
7,0.000783,0.004560,0.001562,0.004077,0.001253,0.004011,-0.000039,0.006832  
8,0.000120,0.004411,0.000626,0.005701,0.000926,0.003776,0.000528,0.007962  
9,0.000573,0.003775,-0.000029,0.003762,0.000870,0.005816,0.000678,0.007161  
10,0.000622,0.004311,-0.000467,0.005308,-0.000246,0.004406,0.001731,0.007168  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379879,0.003847,0.379240,0.004291,0.337749,0.003754,0.047290,0.000307  
2,0.144904,0.004487,0.141854,0.009621,0.108804,0.005276,0.001876,0.012305  
3,0.055069,0.004615,0.053674,0.004885,0.033148,0.007861,-0.000993,0.008006  
4,0.020813,0.004990,0.019948,0.006241,0.011608,0.004997,0.002321,0.008029  
5,0.007760,0.004485,0.008050,0.003187,0.004044,0.004369,-0.002131,0.007814  
6,0.002645,0.004089,0.003164,0.005595,0.000619,0.006144,0.001192,0.007144  
7,0.000881,0.004067,0.000505,0.003656,-0.000334,0.003545,0.000345,0.006904  
8,0.000334,0.004465,0.000464,0.005363,-0.000294,0.003640,-0.000753,0.006966  
9,0.000273,0.004651,0.000687,0.003653,0.000058,0.005748,-0.001023,0.007143  
10,0.000210,0.005135,-0.000652,0.005621,0.000076,0.003673,0.002242,0.007631  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.379714,0.003249,0.378852,0.004073,0.336191,0.004121,0.007320,0.000252  
2,0.144361,0.004034,0.140412,0.010544,0.107418,0.005138,-0.001503,0.012757  
3,0.054342,0.004717,0.052981,0.005726,0.031965,0.007143,-0.000746,0.010032  
4,0.020486,0.004652,0.019356,0.006496,0.010486,0.004395,0.000871,0.008191  
5,0.007701,0.004337,0.007070,0.003704,0.002795,0.004004,0.000936,0.007134  
6,0.002707,0.004775,0.002861,0.005782,0.000584,0.006114,-0.000643,0.006984  
7,0.000653,0.004640,0.000987,0.003745,0.000658,0.004115,-0.001019,0.007023  
8,0.000378,0.005064,0.000577,0.005527,0.000452,0.003921,0.000206,0.007640  
9,0.000116,0.004793,-0.000060,0.003489,-0.000553,0.005455,-0.000264,0.007191  
10,0.000190,0.004653,-0.000380,0.004882,-0.000573,0.004027,0.000064,0.007450  
