beta=0.10
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
4,0.000409,0.003678,0.000292,0.010214,0.001570,0.005947,-0.000398,0.009435  
5,0.000506,0.003471,0.000445,0.005664,0.000214,0.006198,0.000528,0.008974  
6,0.000264,0.003776,0.000294,0.009535,-0.000483,0.007172,0.000463,0.009540  
7,-0.000024,0.003158,-0.000123,0.004949,-0.000936,0.005688,0.001083,0.008029  
8,-0.000170,0.003551,0.000328,0.009496,0.000886,0.005574,-0.000686,0.007919  
9,-0.000006,0.003433,0.000168,0.004990,0.001044,0.008852,-0.000665,0.008505  
10,0.000495,0.003336,0.000178,0.009270,-0.000517,0.005659,-0.000284,0.007559  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099586,0.003063,0.100175,0.004758,0.074568,0.004666,0.082503,0.000642  
2,0.009840,0.003166,0.008993,0.013287,0.002387,0.007077,0.004468,0.012497  
3,0.000708,0.003597,0.000334,0.004811,0.001325,0.011102,0.000663,0.009760  
4,-0.000434,0.003287,0.000110,0.009488,-0.000188,0.006319,0.000892,0.008806  
5,0.000128,0.003712,0.000851,0.004481,-0.000430,0.005849,-0.000373,0.008910  
6,-0.000114,0.003494,0.000123,0.009213,0.000283,0.008828,-0.000940,0.008477  
7,-0.000151,0.003245,0.000171,0.004761,0.000564,0.005617,0.000677,0.007835  
8,-0.000108,0.003391,0.001397,0.008379,0.000514,0.005490,0.000412,0.008026  
9,0.000202,0.003331,0.000123,0.004948,-0.000179,0.009052,0.000350,0.008728  
10,0.000304,0.003800,-0.002167,0.008886,-0.001094,0.005348,0.001677,0.009521  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099576,0.003556,0.100212,0.005026,0.099310,0.004612,-0.005923,0.000725  
2,0.009720,0.002999,0.010903,0.014146,0.007568,0.006920,0.002397,0.014441  
3,0.000740,0.003285,0.001164,0.005807,-0.000456,0.010899,-0.000582,0.011029  
4,-0.000341,0.003358,0.000661,0.008811,0.000805,0.005270,-0.000536,0.009317  
5,0.000197,0.003262,-0.000746,0.005128,0.000908,0.005542,-0.000334,0.008908  
6,-0.000043,0.003290,-0.001959,0.008329,-0.000838,0.010133,0.000008,0.009665  
7,-0.000488,0.002871,0.000118,0.005359,-0.001017,0.005231,-0.000021,0.008551  
8,-0.000020,0.003235,-0.001454,0.009345,0.000555,0.005683,0.000248,0.008679  
9,-0.000503,0.003057,-0.000990,0.005198,0.000749,0.008976,-0.000372,0.007988  
10,-0.000197,0.003160,0.001263,0.008653,0.000668,0.006473,0.000695,0.008476  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.100187,0.003200,0.099844,0.004526,0.073677,0.005021,-0.021567,0.000654  
2,0.009254,0.003410,0.011343,0.012725,0.004458,0.006258,0.000035,0.013043  
3,0.000822,0.003102,0.001934,0.005451,-0.000399,0.011135,0.002728,0.010000  
4,0.000077,0.003221,0.000034,0.008727,0.000578,0.005790,-0.002586,0.009367  
5,-0.000244,0.003681,-0.000266,0.004542,0.000009,0.005913,-0.000818,0.007913  
6,-0.000634,0.003218,0.001109,0.008048,0.000223,0.008819,-0.000808,0.009448  
7,-0.000141,0.003116,0.000228,0.005278,-0.001254,0.005220,-0.000916,0.009390  
8,-0.000306,0.003180,-0.000755,0.007850,-0.000154,0.005066,0.000441,0.009160  
9,0.000682,0.003716,-0.000406,0.005235,-0.000959,0.009388,-0.001581,0.008584  
10,-0.000388,0.003226,-0.000239,0.008788,-0.001583,0.005244,0.001474,0.008454  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099574,0.003079,0.100146,0.004728,0.073043,0.005032,0.026086,0.000678  
2,0.009641,0.003416,0.013381,0.013485,0.005157,0.006099,0.005152,0.016420  
3,0.000751,0.002714,0.001078,0.004741,-0.000894,0.010875,0.000618,0.010870  
4,0.000006,0.003067,0.001327,0.009622,-0.000094,0.005701,-0.000081,0.009600  
5,-0.000014,0.003236,0.000423,0.004109,-0.001057,0.005038,0.000458,0.008447  
6,-0.000155,0.002860,-0.000272,0.008272,-0.000699,0.008596,-0.000297,0.008213  
7,-0.000173,0.003426,0.000234,0.005027,0.000141,0.005666,-0.000134,0.007953  
8,0.000083,0.003452,-0.000606,0.008404,0.000356,0.005364,0.002458,0.009319  
9,-0.000523,0.003366,0.000385,0.004647,-0.000676,0.009009,0.000554,0.007918  
10,-0.000114,0.003164,-0.000132,0.008054,0.000711,0.005504,0.000575,0.008762  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099650,0.003372,0.099249,0.004682,0.095464,0.004951,-0.021465,0.000654  
2,0.009821,0.003586,0.011880,0.013752,0.010019,0.007069,-0.002313,0.013855  
3,0.001006,0.003153,0.002461,0.005686,0.001400,0.009024,-0.001225,0.010436  
4,-0.000337,0.003617,0.001692,0.008650,0.000391,0.005404,-0.001686,0.009716  
5,-0.000326,0.003205,-0.000646,0.004608,0.000644,0.006187,-0.000325,0.009088  
6,-0.000124,0.003215,0.000270,0.007933,0.001715,0.008014,0.000364,0.008479  
7,0.000146,0.003022,-0.000166,0.005063,-0.000076,0.006809,-0.001272,0.009422  
8,0.000129,0.003281,-0.001056,0.009235,-0.000288,0.005346,0.000083,0.009042  
9,-0.000133,0.003462,-0.000837,0.004610,-0.001226,0.008146,0.002577,0.008300  
10,0.000596,0.003245,-0.001744,0.009173,0.000788,0.005912,-0.000878,0.008572  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.100025,0.003389,0.099115,0.004718,0.082876,0.004509,0.026251,0.000605  
2,0.009936,0.003174,0.008629,0.013070,0.006912,0.007030,0.001762,0.012778  
3,0.000808,0.003447,0.000774,0.004692,-0.000853,0.010478,0.002613,0.011545  
4,0.000441,0.003515,-0.001174,0.009025,-0.000330,0.005948,0.000713,0.008223  
5,-0.000323,0.003487,-0.000321,0.004603,-0.000311,0.005785,0.001018,0.009281  
6,-0.000461,0.003549,-0.000513,0.009788,0.001207,0.008185,-0.002044,0.009091  
7,0.000256,0.003466,0.000254,0.004287,0.000559,0.005848,0.000466,0.007244  
8,-0.000286,0.002515,0.000436,0.008746,0.000930,0.005261,-0.001358,0.007731  
9,-0.000370,0.003331,-0.000038,0.004418,-0.000238,0.008135,-0.001439,0.009039  
10,-0.000489,0.003344,-0.000378,0.008468,0.000009,0.005575,-0.000350,0.009034  
