beta=0.10
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099940,0.003143,0.099471,0.004081,0.082040,0.005080,0.042229,0.000691  
2,0.009442,0.002956,0.005629,0.013367,0.004573,0.006704,0.003922,0.013470  
3,0.000983,0.003292,0.000082,0.005304,0.000589,0.010201,0.000980,0.010171  
4,0.000265,0.003058,-0.000152,0.009089,0.001075,0.005999,0.000931,0.009660  
5,0.000316,0.003677,0.000754,0.004576,0.000615,0.005590,0.000222,0.009182  
6,-0.000132,0.003098,0.001392,0.008684,0.000671,0.009531,-0.001042,0.008365  
7,-0.000229,0.002967,-0.000100,0.004509,-0.001191,0.005402,0.001376,0.008777  
8,-0.000062,0.003030,-0.000233,0.009109,-0.000162,0.005795,-0.000982,0.008719  
9,-0.000086,0.003628,0.000346,0.004293,-0.000871,0.008092,0.000879,0.007918  
10,-0.000021,0.003086,0.001295,0.008159,-0.000304,0.005665,0.001060,0.007345  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099850,0.002996,0.100503,0.004503,0.091505,0.005210,-0.013634,0.000741  
2,0.010036,0.003441,0.014376,0.014267,0.009084,0.006380,-0.003830,0.014815  
3,0.000597,0.003523,0.000814,0.004530,0.000018,0.009716,0.001847,0.007675  
4,-0.000463,0.003375,0.000788,0.008055,-0.000721,0.005669,0.000516,0.008345  
5,-0.000238,0.002594,0.000394,0.005240,0.000453,0.005550,-0.000144,0.007861  
6,-0.000220,0.003012,-0.000909,0.008386,-0.001483,0.008470,0.000146,0.010026  
7,0.000162,0.003183,-0.000523,0.004447,-0.000714,0.005607,-0.001153,0.009580  
8,0.000324,0.003508,-0.000609,0.008557,-0.000104,0.004727,0.000276,0.009072  
9,0.000062,0.003339,-0.000128,0.004295,-0.001692,0.008716,-0.000102,0.008848  
10,-0.000508,0.003334,-0.000302,0.008065,-0.000175,0.006196,0.000882,0.007118  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099778,0.003612,0.100161,0.004101,0.096471,0.004652,-0.009472,0.000684  
2,0.010128,0.003272,0.006311,0.014550,0.007692,0.005970,-0.000486,0.012637  
3,0.001436,0.003043,-0.000147,0.005105,0.001909,0.010239,-0.000703,0.010364  
4,0.000220,0.003066,0.000756,0.009521,0.000918,0.005474,-0.000276,0.009894  
5,-0.000226,0.003368,0.000414,0.004691,-0.000452,0.006517,0.000806,0.008999  
6,0.000226,0.003474,-0.001444,0.008483,0.001190,0.007636,0.000473,0.009220  
7,-0.000141,0.003066,0.000021,0.004839,-0.000038,0.005477,-0.001177,0.009056  
8,-0.000220,0.003300,0.000393,0.008745,0.000515,0.006252,-0.000286,0.008330  
9,-0.000016,0.003400,0.000174,0.005170,0.000238,0.008184,0.001756,0.009762  
10,0.000504,0.003868,0.001297,0.007732,-0.000018,0.005863,-0.001380,0.008972  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.099330,0.003337,0.099694,0.004626,0.100375,0.005076,-0.001695,0.000727  
2,0.010144,0.003536,0.003265,0.013876,0.007821,0.006774,-0.000729,0.013459  
3,0.001336,0.002986,-0.000359,0.005388,0.000794,0.011084,0.000949,0.009684  
