beta=0.20
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197853,0.003499,0.197402,0.004450,0.166185,0.004059,0.034717,0.000515  
2,0.038077,0.003053,0.036097,0.011870,0.023111,0.004964,-0.001604,0.012467  
3,0.006868,0.003794,0.007452,0.004181,0.003108,0.007642,-0.000682,0.009144  
4,0.001241,0.004008,0.002738,0.007082,0.001344,0.004649,0.000404,0.007654  
5,0.000035,0.003550,0.001192,0.003625,0.000916,0.004953,0.000372,0.008000  
6,0.000394,0.003128,0.000721,0.007249,0.000870,0.005714,0.001418,0.006788  
7,-0.000302,0.003367,-0.000118,0.003696,-0.000322,0.004282,0.001264,0.007289  
8,0.000238,0.003176,0.000761,0.007298,0.000254,0.003886,-0.001274,0.006495  
9,0.000453,0.003415,-0.000089,0.003908,0.000775,0.006130,-0.000620,0.006571  
10,0.000429,0.003012,0.000154,0.006818,0.000286,0.004308,0.000359,0.006739  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.196888,0.003596,0.196989,0.003830,0.167444,0.004314,-0.021172,0.000483  
2,0.039071,0.003669,0.039752,0.012134,0.024226,0.005088,-0.003044,0.011387  
3,0.007607,0.003439,0.008172,0.004275,0.002782,0.008090,-0.000798,0.008788  
4,0.001462,0.003374,0.001235,0.006795,0.000351,0.004003,0.000758,0.007644  
5,0.000512,0.003372,0.000602,0.004079,-0.000119,0.004389,-0.000472,0.007674  
6,0.000560,0.003467,0.000224,0.007057,0.000833,0.005889,-0.000565,0.007362  
7,0.000222,0.002997,0.000363,0.003511,0.000189,0.004481,0.001348,0.008818  
8,-0.000126,0.003089,0.001122,0.006095,0.000281,0.004171,-0.000443,0.007213  
9,0.000581,0.003335,0.000546,0.004159,-0.000418,0.005969,-0.000997,0.007675  
10,0.001236,0.003151,0.001734,0.006869,-0.000850,0.004302,0.000846,0.007225  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197568,0.003115,0.197737,0.003978,0.177199,0.003774,0.002830,0.000531  
2,0.038962,0.003984,0.041238,0.010704,0.030243,0.005320,-0.001424,0.011785  
3,0.007420,0.003785,0.008353,0.003880,0.004121,0.007787,-0.000556,0.008826  
4,0.001576,0.003463,0.000782,0.006883,0.000923,0.004258,-0.000143,0.007259  
5,0.000276,0.003547,-0.000324,0.003736,-0.000479,0.004660,0.001092,0.007458  
6,0.000094,0.003451,-0.000540,0.006142,-0.000494,0.006491,0.000695,0.008179  
7,0.000482,0.003138,0.000107,0.003614,0.000768,0.003979,-0.000882,0.007417  
8,0.000569,0.003580,-0.000369,0.005731,-0.000192,0.003861,-0.001127,0.007903  
9,-0.000201,0.003795,0.000282,0.003847,-0.000054,0.006043,0.000455,0.007816  
10,-0.000074,0.003157,0.000934,0.006808,0.000129,0.004096,-0.000468,0.006924  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197469,0.002916,0.197765,0.003410,0.186732,0.004099,-0.001231,0.000595  
2,0.038870,0.003099,0.043454,0.008999,0.035230,0.004801,0.008436,0.011742  
3,0.008014,0.003395,0.009026,0.004151,0.007851,0.008216,0.000619,0.008752  
4,0.001759,0.003971,0.002655,0.006670,0.001452,0.004492,-0.000958,0.007058  
5,0.000415,0.003473,0.000252,0.003879,-0.000222,0.004155,0.000084,0.006838  
6,-0.000147,0.003312,-0.000387,0.006529,-0.000302,0.006608,0.000657,0.006817  
7,-0.000413,0.003510,-0.000576,0.003626,0.000106,0.004383,0.001598,0.007662  
8,-0.000305,0.003935,-0.000620,0.006403,0.000526,0.003810,-0.000829,0.008249  
9,-0.000117,0.003136,-0.000006,0.003732,-0.000676,0.005579,0.000172,0.007560  
10,0.000028,0.003378,-0.000102,0.006475,-0.001167,0.003997,0.000102,0.007438  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197822,0.003438,0.197261,0.004098,0.181041,0.003888,0.018686,0.000503  
2,0.039334,0.003375,0.041121,0.010919,0.033310,0.005180,0.001962,0.012075  
3,0.007228,0.003294,0.008302,0.004213,0.006511,0.007835,0.000547,0.008669  
4,0.001390,0.003384,0.002406,0.007125,0.000845,0.004060,-0.000746,0.007735  
5,0.000449,0.003510,0.000800,0.003583,-0.000240,0.003875,0.000611,0.007854  
6,0.000288,0.003193,0.001027,0.005464,0.000340,0.005719,0.000757,0.007993  
7,0.000054,0.003890,0.000904,0.003757,0.000258,0.004180,-0.000021,0.007002  
8,-0.000301,0.003777,0.001086,0.006819,-0.000221,0.004065,0.000546,0.006705  
9,0.000105,0.003604,0.000498,0.003369,-0.000422,0.006309,-0.000730,0.006568  
10,0.000211,0.003364,-0.000108,0.006693,0.000298,0.004290,0.001699,0.007487  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.196968,0.003602,0.197842,0.003697,0.174342,0.004129,-0.001278,0.000518  
2,0.038964,0.003872,0.038208,0.010228,0.028620,0.005031,-0.001554,0.011045  
3,0.008111,0.003973,0.007056,0.003661,0.003399,0.008624,-0.000632,0.009056  
4,0.001755,0.003693,0.000794,0.007041,0.000820,0.004245,-0.000228,0.007252  
5,0.000431,0.003259,0.000523,0.003516,0.000235,0.004347,0.000124,0.006825  
6,0.000292,0.003480,-0.000552,0.005913,0.000479,0.006788,-0.000571,0.007369  
7,-0.000044,0.003309,-0.000154,0.003906,0.001020,0.004716,-0.000268,0.006457  
8,-0.000588,0.003804,0.000678,0.006601,0.000904,0.004516,-0.000004,0.007518  
9,-0.000559,0.004063,-0.000023,0.003377,-0.000382,0.006102,-0.000520,0.006291  
10,-0.000307,0.003489,0.000224,0.006432,-0.000429,0.004949,0.000310,0.006377  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197227,0.003363,0.197961,0.003222,0.146812,0.004066,0.018570,0.000550  
2,0.038856,0.003958,0.040539,0.010831,0.012661,0.004585,0.000167,0.011915  
3,0.006757,0.002989,0.007770,0.004370,-0.000468,0.008821,0.000338,0.008873  
4,0.001227,0.003366,0.002487,0.007200,0.001184,0.004614,0.000166,0.008013  
5,0.000494,0.003217,0.000916,0.003748,0.000806,0.004784,-0.001243,0.006152  
6,-0.000158,0.003993,0.000210,0.006168,0.000328,0.006628,0.001058,0.006597  
7,0.000339,0.003405,-0.000261,0.003616,0.000688,0.004363,-0.000758,0.007517  
8,-0.000042,0.002968,-0.000625,0.005478,0.000369,0.004478,0.000400,0.007235  
