beta=0.20
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
9,0.000162,0.003670,0.000210,0.003904,-0.000896,0.006691,-0.000234,0.007618  
10,0.000050,0.002980,0.000312,0.005743,0.000016,0.004404,-0.000207,0.007218  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197595,0.003033,0.197372,0.003565,0.156455,0.003877,-0.013224,0.000495  
2,0.038426,0.003616,0.040170,0.011226,0.018761,0.005344,-0.006442,0.013079  
3,0.007414,0.003445,0.008317,0.004199,0.001230,0.008370,0.001733,0.008702  
4,0.001390,0.003356,0.002210,0.006579,0.000389,0.004564,0.000397,0.007556  
5,-0.000521,0.003807,0.000691,0.003911,-0.000459,0.004476,0.000292,0.007737  
6,-0.000235,0.003392,0.000124,0.006801,-0.000030,0.006047,0.000170,0.007383  
7,-0.000128,0.003806,0.000148,0.004164,-0.000388,0.004461,-0.001188,0.007354  
8,0.000194,0.003680,0.000294,0.007084,-0.000449,0.004423,-0.000152,0.006774  
9,0.000401,0.003784,-0.000349,0.003949,-0.000236,0.006516,0.000010,0.007662  
10,0.000035,0.003288,-0.000502,0.006874,-0.000351,0.004258,0.000326,0.006938  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197444,0.003006,0.197852,0.004240,0.168086,0.003881,-0.013284,0.000474  
2,0.039266,0.003440,0.037542,0.012235,0.025902,0.005141,-0.000754,0.012015  
3,0.007258,0.003767,0.006939,0.004291,0.003544,0.007760,0.000184,0.008496  
4,0.001425,0.003390,0.001174,0.006411,0.000443,0.004305,0.000486,0.008481  
5,0.000302,0.003307,-0.000107,0.003844,-0.000201,0.003729,-0.000212,0.007355  
6,-0.000127,0.003490,0.000140,0.006547,0.000029,0.006405,-0.000239,0.007125  
7,-0.000234,0.003778,0.000099,0.004044,0.000516,0.004296,0.000327,0.007406  
8,0.000154,0.003944,0.000564,0.005862,-0.000095,0.004713,-0.000229,0.006986  
9,-0.000306,0.003716,-0.000228,0.003784,-0.001096,0.006112,-0.001163,0.007015  
10,-0.000157,0.003336,-0.000124,0.006504,-0.000220,0.004933,0.000474,0.006469  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.197319,0.003563,0.197122,0.004062,0.174181,0.003677,0.006634,0.000555  
2,0.038938,0.003786,0.039401,0.011024,0.029168,0.005359,-0.006092,0.012121  
3,0.007887,0.003872,0.008124,0.004187,0.003987,0.008394,-0.000124,0.009133  
4,0.001554,0.003498,0.002101,0.007904,0.000872,0.004624,0.000391,0.007563  
5,-0.000158,0.003558,0.000715,0.004270,0.000935,0.004051,0.000006,0.007169  
6,0.000048,0.003441,-0.000302,0.006740,0.000522,0.007029,-0.000360,0.008232  
7,0.000468,0.003193,-0.000537,0.003673,-0.000018,0.004434,0.000688,0.007420  
8,0.000441,0.003516,-0.000300,0.005844,-0.000496,0.003770,-0.000848,0.006710  
9,-0.000044,0.003657,0.000317,0.004077,0.001455,0.006430,-0.000534,0.006942  
10,0.000672,0.003879,0.000199,0.006778,0.001555,0.004083,-0.000333,0.006580  
