beta=0.60
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
5,0.044407,0.007687,0.045192,0.005988,0.012566,0.005768,0.001436,0.010645  
6,0.024219,0.007546,0.024968,0.006818,0.005030,0.007470,-0.000619,0.009760  
7,0.013048,0.007074,0.013524,0.005000,0.002630,0.005473,-0.000666,0.009543  
8,0.007378,0.007247,0.007026,0.005980,0.001416,0.005564,-0.000513,0.008874  
9,0.004315,0.007569,0.003842,0.004724,0.000508,0.006843,0.000120,0.009197  
10,0.002581,0.007286,0.002726,0.005160,-0.000342,0.004669,0.001941,0.009048  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536780,0.004106,0.536994,0.004838,0.443470,0.003824,0.019667,0.000146  
2,0.288251,0.006113,0.287797,0.010029,0.179303,0.004525,-0.006105,0.014313  
3,0.155054,0.006784,0.154538,0.007187,0.067629,0.008357,0.001342,0.012355  
4,0.083377,0.006664,0.083266,0.007727,0.030111,0.006779,0.001135,0.011846  
5,0.044578,0.007042,0.044586,0.005770,0.012874,0.006575,-0.000977,0.009710  
6,0.023739,0.007425,0.023720,0.007206,0.005291,0.007820,-0.000086,0.011013  
7,0.012176,0.007244,0.012836,0.005752,0.001764,0.005713,0.000054,0.010658  
8,0.006410,0.007100,0.006566,0.006318,0.000167,0.005662,-0.000638,0.009591  
9,0.003241,0.006768,0.003707,0.004804,-0.000410,0.006041,0.000456,0.008349  
10,0.001436,0.006454,0.002646,0.005877,-0.000084,0.005680,-0.001016,0.009715  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536656,0.004002,0.535840,0.004820,0.483195,0.004128,-0.012322,0.000164  
2,0.288318,0.005776,0.284906,0.010004,0.226710,0.005297,0.002693,0.016469  
3,0.155196,0.006718,0.152871,0.007032,0.104380,0.007625,-0.001476,0.013750  
4,0.083924,0.007930,0.081862,0.007626,0.049919,0.005806,-0.000925,0.011787  
5,0.045705,0.008261,0.043964,0.005724,0.022615,0.005516,0.000699,0.010669  
6,0.024873,0.008227,0.023587,0.006925,0.009200,0.006417,-0.000829,0.010106  
7,0.013782,0.008219,0.012737,0.004934,0.004296,0.005474,0.002866,0.010499  
8,0.007829,0.008128,0.006755,0.006005,0.002118,0.005758,-0.001326,0.010508  
9,0.004744,0.008112,0.003542,0.004668,0.001685,0.006746,0.002095,0.011592  
10,0.002264,0.007684,0.001971,0.005744,0.001214,0.004951,-0.001489,0.010814  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.537384,0.003864,0.536318,0.004783,0.477617,0.004183,0.027642,0.000172  
2,0.288865,0.005444,0.286859,0.009550,0.219638,0.004812,0.002720,0.013754  
3,0.155132,0.005939,0.154368,0.007218,0.097861,0.006869,0.001030,0.010316  
4,0.083074,0.006567,0.082650,0.008060,0.046893,0.005845,-0.001251,0.011778  
5,0.043962,0.006825,0.043995,0.005543,0.021616,0.005800,0.000772,0.010153  
6,0.022543,0.006840,0.023306,0.006354,0.009775,0.007572,-0.000540,0.009921  
7,0.011612,0.006427,0.012223,0.005133,0.005440,0.005435,-0.001428,0.009757  
8,0.005612,0.006400,0.006093,0.006374,0.003280,0.005531,-0.000356,0.009577  
9,0.002835,0.006057,0.003220,0.004869,0.002374,0.006334,0.000075,0.008719  
10,0.001770,0.005994,0.001508,0.005812,0.000888,0.005102,-0.000648,0.010497  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.537056,0.004642,0.537659,0.004663,0.472586,0.004350,0.031673,0.000156  
2,0.288318,0.006759,0.290177,0.010049,0.214565,0.005356,-0.003748,0.013759  
3,0.154884,0.007277,0.156344,0.007377,0.096022,0.007004,0.001682,0.011879  
4,0.083362,0.007187,0.084422,0.007934,0.046431,0.005939,-0.000997,0.010135  
5,0.044797,0.007077,0.045355,0.005584,0.022083,0.006144,0.001129,0.009787  
6,0.023903,0.007278,0.024539,0.006393,0.010760,0.007284,-0.001666,0.010488  
7,0.012577,0.007077,0.013248,0.005127,0.005163,0.005923,0.000896,0.009810  
8,0.006734,0.007353,0.007482,0.006291,0.002608,0.005807,0.001962,0.009592  
9,0.003587,0.007837,0.003975,0.005196,0.001573,0.006161,-0.001608,0.010321  
10,0.002345,0.007641,0.002084,0.005964,0.001218,0.005359,0.000727,0.009237  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536398,0.004044,0.536823,0.004819,0.458520,0.003607,-0.036304,0.000147  
2,0.287678,0.005179,0.287848,0.009898,0.197122,0.004536,-0.000230,0.013876  
3,0.153896,0.005341,0.153836,0.007078,0.080776,0.007698,0.000808,0.013863  
4,0.082118,0.005911,0.082684,0.007224,0.037583,0.007510,-0.002111,0.013224  
5,0.044111,0.006746,0.044178,0.005313,0.016068,0.007358,-0.000201,0.012253  
6,0.024222,0.007195,0.022912,0.006470,0.005557,0.007830,0.001670,0.011644  
7,0.013709,0.007480,0.011928,0.005223,0.002404,0.006043,-0.002071,0.010893  
8,0.007461,0.007420,0.006371,0.006300,0.001030,0.005364,0.001638,0.010071  
9,0.003946,0.007487,0.003845,0.005360,0.000550,0.006520,0.000328,0.010929  
10,0.001978,0.007178,0.002184,0.006995,0.000178,0.004688,0.000360,0.011291  
