beta=0.60
separation,avg_random,sd_random,avg_2nd,sd_2nd,avg_3rd,sd_3rd,avg_order,sd_order
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536982,0.003575,0.537067,0.004918,0.425712,0.003594,0.003686,0.000159  
2,0.288312,0.005291,0.288606,0.010300,0.158590,0.003712,-0.007195,0.014403  
3,0.154782,0.006183,0.155673,0.007733,0.052627,0.009005,-0.000596,0.012089  
4,0.083728,0.006713,0.083617,0.008672,0.021602,0.006081,-0.000262,0.011389  
5,0.045767,0.006667,0.044483,0.006134,0.007704,0.006093,-0.000721,0.010446  
6,0.025228,0.007008,0.023906,0.007061,0.002642,0.007927,0.000024,0.010734  
7,0.013928,0.007280,0.013272,0.005675,0.000217,0.005025,0.000887,0.009919  
8,0.007818,0.007251,0.007179,0.006766,-0.000824,0.005230,-0.001145,0.010272  
9,0.004527,0.006898,0.003675,0.005150,-0.000282,0.007561,-0.000264,0.010179  
10,0.002620,0.006578,0.002432,0.006521,0.000932,0.005016,-0.000349,0.010254  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536743,0.003559,0.537102,0.004637,0.476873,0.004152,0.051620,0.000182  
2,0.287998,0.005648,0.288202,0.009730,0.218320,0.005354,0.001947,0.012818  
3,0.154679,0.006578,0.154468,0.007149,0.096245,0.007857,0.000126,0.011058  
4,0.083295,0.007404,0.082534,0.008022,0.047074,0.005858,-0.002262,0.011437  
5,0.045127,0.007596,0.044130,0.005636,0.022660,0.005334,0.001248,0.010256  
6,0.024722,0.007629,0.023348,0.006452,0.010678,0.007218,-0.001282,0.009570  
7,0.014025,0.007337,0.012336,0.005059,0.005385,0.005665,0.001182,0.009813  
8,0.008511,0.007448,0.006529,0.005847,0.002876,0.005773,-0.000349,0.009785  
9,0.005171,0.006865,0.003890,0.004546,0.001525,0.007925,-0.001050,0.009388  
10,0.003345,0.006765,0.002737,0.005629,0.000158,0.006372,0.002327,0.010724  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536692,0.003778,0.537300,0.004515,0.445351,0.003632,0.043659,0.000159  
2,0.287758,0.005405,0.289665,0.008916,0.182148,0.004298,0.001008,0.014392  
3,0.154277,0.006397,0.155285,0.006787,0.071168,0.008703,-0.000942,0.011897  
4,0.082258,0.007080,0.082936,0.007569,0.031556,0.006074,-0.000412,0.010179  
5,0.043537,0.007350,0.044721,0.005296,0.012817,0.005893,-0.001512,0.009877  
6,0.023155,0.007196,0.024109,0.006176,0.005964,0.007678,0.002714,0.009229  
7,0.012416,0.007391,0.012660,0.004705,0.001898,0.005183,-0.000828,0.010023  
8,0.007235,0.007464,0.006820,0.006069,0.000454,0.005161,0.000667,0.009092  
9,0.004217,0.007457,0.003424,0.004629,0.000683,0.007229,0.001160,0.009307  
10,0.002183,0.006888,0.001459,0.005475,0.000350,0.004667,-0.000487,0.008846  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.537128,0.003894,0.536719,0.004182,0.458751,0.003786,0.031660,0.000151  
2,0.288398,0.005579,0.288050,0.009249,0.197929,0.004058,0.000498,0.013596  
3,0.155034,0.006381,0.154216,0.006058,0.081775,0.007434,0.001647,0.013115  
4,0.083389,0.006720,0.082172,0.006733,0.036263,0.006047,-0.000263,0.010021  
5,0.044943,0.006636,0.043824,0.005275,0.014731,0.006018,-0.000546,0.009942  
6,0.023886,0.006922,0.022973,0.006687,0.005550,0.007202,0.001478,0.010623  
7,0.012152,0.006907,0.012256,0.005297,0.002954,0.005550,-0.000732,0.009797  
8,0.005558,0.006708,0.006477,0.006514,0.001685,0.005799,0.000332,0.009305  
9,0.002097,0.006272,0.003775,0.005392,0.000807,0.006322,-0.000582,0.010757  
10,0.000108,0.005975,0.002428,0.006654,-0.000482,0.004535,0.000544,0.009598  
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000  
1,0.536687,0.004506,0.538206,0.004730,0.443158,0.003606,0.047643,0.000149  
2,0.288117,0.006439,0.291043,0.009783,0.178959,0.003728,-0.003914,0.012793  
3,0.153960,0.007585,0.156580,0.006884,0.068007,0.008369,0.001299,0.011085  
4,0.082441,0.007789,0.084333,0.007584,0.030522,0.005684,-0.001205,0.010195  
