beta=0.60
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
8,0.980427,0.095338,0.987673,0.091395,0.995678,0.011197,0.996334,0.004854
9,0.980750,0.093483,0.987834,0.089781,0.995682,0.011147,0.996339,0.004810
10,0.981500,0.089196,0.988465,0.083474,0.995705,0.010922,0.996342,0.004776
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.994131,0.021617,0.996447,0.003835,0.996561,0.002674,0.996224,0.006336
2,0.992952,0.032980,0.996162,0.006426,0.996349,0.004533,0.995664,0.011678
3,0.992073,0.041724,0.995940,0.008646,0.996205,0.005968,0.995173,0.016579
4,0.991457,0.047860,0.995751,0.010536,0.996092,0.007100,0.994734,0.020965
5,0.991072,0.051702,0.995592,0.012123,0.995997,0.008042,0.994378,0.024539
6,0.990871,0.053713,0.995471,0.013336,0.995921,0.008806,0.994146,0.026844
7,0.990801,0.054411,0.995392,0.014134,0.995873,0.009289,0.994013,0.028181
8,0.990743,0.054980,0.995367,0.014385,0.995858,0.009441,0.993971,0.028588
9,0.990801,0.054411,0.995392,0.014134,0.995873,0.009289,0.994013,0.028181
10,0.990871,0.053713,0.995471,0.013336,0.995921,0.008806,0.994146,0.026844
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.993206,0.024621,0.996394,0.004289,0.996606,0.002370,0.996723,0.001322
2,0.991284,0.038935,0.996052,0.007474,0.996421,0.003999,0.996633,0.001976
3,0.989789,0.050023,0.995766,0.010322,0.996299,0.005199,0.996592,0.002380
4,0.988640,0.058342,0.995526,0.012719,0.996213,0.006064,0.996559,0.002696
5,0.987731,0.064765,0.995331,0.014683,0.996155,0.006648,0.996533,0.002954
6,0.987077,0.069331,0.995187,0.016116,0.996117,0.007014,0.996515,0.003150
7,0.986657,0.072333,0.995100,0.016981,0.996097,0.007219,0.996498,0.003313
8,0.986460,0.073760,0.995076,0.017225,0.996092,0.007283,0.996495,0.003352
9,0.986657,0.072333,0.995100,0.016981,0.996097,0.007219,0.996498,0.003313
10,0.987077,0.069331,0.995187,0.016116,0.996117,0.007014,0.996515,0.003150
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.947986,0.088759,0.996590,0.002630,0.996162,0.006585,0.996161,0.006503
2,0.902417,0.172377,0.996389,0.004393,0.995559,0.012372,0.995663,0.011220
3,0.858026,0.254129,0.996236,0.005919,0.995034,0.017617,0.995248,0.015364
4,0.815098,0.333651,0.996112,0.007149,0.994589,0.022056,0.994884,0.019001
5,0.774806,0.409102,0.996018,0.008101,0.994229,0.025663,0.994581,0.022033
6,0.738894,0.477174,0.995943,0.008851,0.994004,0.027908,0.994339,0.024453
7,0.711770,0.529592,0.995886,0.009416,0.993872,0.029240,0.994172,0.026116
8,0.703299,0.545723,0.995865,0.009626,0.993818,0.029790,0.994109,0.026756
9,0.711770,0.529592,0.995886,0.009416,0.993872,0.029240,0.994172,0.026116
10,0.738894,0.477174,0.995943,0.008851,0.994004,0.027908,0.994339,0.024453
