beta=0.50
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.985056,0.028910,0.988740,0.004295,0.988049,0.011033,0.988795,0.003574
2,0.982513,0.046866,0.988250,0.007461,0.986919,0.020526,0.988398,0.005711
3,0.980655,0.060943,0.987971,0.010236,0.986026,0.029405,0.988237,0.007285
4,0.979191,0.071931,0.987737,0.012551,0.985209,0.037584,0.988119,0.008458
5,0.978091,0.080144,0.987559,0.014344,0.984500,0.044659,0.988023,0.009395
6,0.977437,0.084898,0.987434,0.015560,0.983949,0.050184,0.987962,0.010028
7,0.977031,0.087616,0.987365,0.016288,0.983610,0.053560,0.987928,0.010369
8,0.976884,0.088596,0.987340,0.016524,0.983492,0.054712,0.987921,0.010438
9,0.977031,0.087616,0.987365,0.016288,0.983610,0.053560,0.987928,0.010369
10,0.977437,0.084898,0.987434,0.015560,0.983949,0.050184,0.987962,0.010028
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.983481,0.035903,0.989018,0.001926,0.988773,0.004164,0.988814,0.003613
2,0.979458,0.061644,0.988722,0.003017,0.988313,0.006886,0.988422,0.005671
3,0.976093,0.084191,0.988632,0.003849,0.988091,0.009021,0.988259,0.007270
4,0.973197,0.103643,0.988574,0.004421,0.987926,0.010733,0.988147,0.008386
5,0.970859,0.119753,0.988544,0.004755,0.987793,0.012020,0.988072,0.009170
6,0.969222,0.131250,0.988519,0.004989,0.987701,0.012948,0.988029,0.009583
7,0.968471,0.136687,0.988510,0.005099,0.987646,0.013494,0.988013,0.009715
8,0.968245,0.138263,0.988508,0.005108,0.987626,0.013709,0.988014,0.009784
9,0.968471,0.136687,0.988510,0.005099,0.987646,0.013494,0.988013,0.009715
10,0.969222,0.131250,0.988519,0.004989,0.987701,0.012948,0.988029,0.009583
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.973761,0.045183,0.988294,0.008531,0.988974,0.002514,0.988748,0.004086
2,0.963268,0.075377,0.987379,0.015741,0.988629,0.004183,0.988270,0.007059
3,0.954480,0.100889,0.986699,0.022529,0.988489,0.005532,0.988010,0.009611
4,0.946816,0.122765,0.986062,0.028894,0.988381,0.006590,0.987800,0.011721
5,0.940494,0.140582,0.985502,0.034518,0.988307,0.007330,0.987637,0.013315
6,0.935912,0.153567,0.985056,0.038976,0.988254,0.007905,0.987551,0.014195
7,0.933076,0.161779,0.984751,0.042011,0.988218,0.008254,0.987510,0.014587
8,0.932121,0.164574,0.984635,0.043145,0.988209,0.008351,0.987504,0.014668
9,0.933076,0.161779,0.984751,0.042011,0.988218,0.008254,0.987510,0.014587
10,0.935912,0.153567,0.985056,0.038976,0.988254,0.007905,0.987551,0.014195
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.986658,0.021333,0.988426,0.007532,0.988697,0.005036,0.988846,0.003477
2,0.985412,0.031707,0.987724,0.012677,0.988142,0.008696,0.988418,0.005890
3,0.984661,0.039075,0.987287,0.017025,0.987832,0.011814,0.988208,0.007962
4,0.984156,0.044056,0.986903,0.020814,0.987558,0.014522,0.988032,0.009742
5,0.983901,0.046630,0.986595,0.023898,0.987316,0.016904,0.987903,0.011042
6,0.983817,0.047449,0.986355,0.026293,0.987141,0.018673,0.987805,0.011973
7,0.983852,0.047139,0.986207,0.027783,0.987030,0.019794,0.987747,0.012577
8,0.983826,0.047400,0.986162,0.028269,0.986994,0.020202,0.987727,0.012779
9,0.983852,0.047139,0.986207,0.027783,0.987030,0.019794,0.987747,0.012577
10,0.983817,0.047449,0.986355,0.026293,0.987141,0.018673,0.987805,0.011973
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.985549,0.025891,0.988898,0.002288,0.988432,0.007094,0.988943,0.002158
2,0.983725,0.039964,0.988571,0.003769,0.987682,0.012728,0.988638,0.003374
3,0.982486,0.050718,0.988446,0.004994,0.987168,0.017826,0.988538,0.004351
4,0.981541,0.058836,0.988343,0.005987,0.986728,0.022270,0.988457,0.005154
5,0.980816,0.065019,0.988274,0.006711,0.986357,0.025975,0.988403,0.005740
6,0.980329,0.069181,0.988224,0.007189,0.986079,0.028699,0.988357,0.006194
7,0.980068,0.071282,0.988205,0.007408,0.985931,0.030228,0.988324,0.006522
8,0.979943,0.072314,0.988198,0.007470,0.985893,0.030608,0.988312,0.006635
9,0.980068,0.071282,0.988205,0.007408,0.985931,0.030228,0.988324,0.006522
10,0.980329,0.069181,0.988224,0.007189,0.986079,0.028699,0.988357,0.006194
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.986973,0.018280,0.988936,0.002445,0.988229,0.009000,0.988933,0.002218
2,0.986004,0.025889,0.988617,0.003879,0.987345,0.015988,0.988614,0.003568
