beta=0.20
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252318,0.005505,0.252186,0.002739,0.252694,0.002574,0.252465,0.002495
2,0.080709,0.007175,0.081354,0.002876,0.081308,0.002540,0.081167,0.002807
3,0.030895,0.007707,0.032111,0.002906,0.031801,0.002563,0.032022,0.002852
4,0.013438,0.008140,0.014623,0.003247,0.014280,0.002622,0.014557,0.003096
5,0.006520,0.008614,0.007467,0.002957,0.007438,0.002930,0.007186,0.002909
6,0.003858,0.009812,0.003759,0.003448,0.003771,0.003328,0.003853,0.003455
7,0.002372,0.010991,0.001787,0.003703,0.002369,0.003169,0.002584,0.003162
8,0.002161,0.010928,0.001223,0.004697,0.001620,0.003883,0.002531,0.004296
9,0.002372,0.010991,0.001787,0.003703,0.002369,0.003169,0.002584,0.003162
10,0.003858,0.009812,0.003759,0.003448,0.003771,0.003328,0.003853,0.003455
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252514,0.004734,0.252797,0.002706,0.252823,0.002316,0.252620,0.002842
2,0.081633,0.006484,0.081192,0.002726,0.081721,0.002430,0.081073,0.002617
3,0.032425,0.006610,0.032087,0.003078,0.031935,0.002832,0.031387,0.002946
4,0.014716,0.006906,0.014646,0.003218,0.014266,0.003177,0.013737,0.003305
5,0.007576,0.007945,0.007076,0.003164,0.006835,0.003222,0.006239,0.003383
6,0.004667,0.009010,0.003742,0.003404,0.003706,0.003332,0.003492,0.003658
7,0.002953,0.009888,0.002260,0.003808,0.002583,0.003252,0.001707,0.004042
8,0.002422,0.010188,0.001858,0.004266,0.002532,0.003795,0.001276,0.004535
9,0.002953,0.009888,0.002260,0.003808,0.002583,0.003252,0.001707,0.004042
10,0.004667,0.009010,0.003742,0.003404,0.003706,0.003332,0.003492,0.003658
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252395,0.004966,0.252382,0.002676,0.252695,0.001945,0.252397,0.003138
2,0.081294,0.006811,0.080911,0.003117,0.081213,0.002302,0.081455,0.002925
3,0.032185,0.007795,0.031740,0.003358,0.031991,0.002434,0.031799,0.002676
4,0.014945,0.008516,0.014136,0.003420,0.014132,0.002786,0.014187,0.003026
5,0.008050,0.008515,0.006913,0.003242,0.006754,0.002524,0.006747,0.002983
6,0.005165,0.009346,0.003854,0.003759,0.003413,0.002866,0.004058,0.003464
7,0.003962,0.009762,0.002483,0.004040,0.002236,0.002758,0.002748,0.003833
8,0.003410,0.009944,0.001695,0.004421,0.001696,0.003353,0.001960,0.004545
9,0.003962,0.009762,0.002483,0.004040,0.002236,0.002758,0.002748,0.003833
10,0.005165,0.009346,0.003854,0.003759,0.003413,0.002866,0.004058,0.003464
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252372,0.004715,0.252881,0.003092,0.252882,0.002535,0.252976,0.002676
2,0.081492,0.006763,0.081095,0.003485,0.081302,0.002876,0.081686,0.002954
3,0.031973,0.006914,0.031689,0.003582,0.031582,0.002861,0.031735,0.002974
4,0.014702,0.007350,0.014385,0.003787,0.014266,0.002846,0.014480,0.003291
5,0.007748,0.008073,0.006901,0.003543,0.007069,0.002778,0.007181,0.002947
6,0.004891,0.008466,0.003262,0.003687,0.003492,0.003213,0.004301,0.003211
7,0.003338,0.009565,0.001862,0.003962,0.002056,0.003470,0.002921,0.003590
8,0.003299,0.010106,0.001174,0.004299,0.001636,0.003948,0.002481,0.004207
9,0.003338,0.009565,0.001862,0.003962,0.002056,0.003470,0.002921,0.003590
10,0.004891,0.008466,0.003262,0.003687,0.003492,0.003213,0.004301,0.003211
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252054,0.004560,0.252888,0.003137,0.252379,0.002301,0.252637,0.002720
2,0.081064,0.006460,0.081555,0.003823,0.081357,0.002420,0.081467,0.002847
3,0.031972,0.007219,0.032164,0.003410,0.031617,0.002671,0.031803,0.003248
4,0.015006,0.007361,0.014657,0.003407,0.013583,0.002699,0.014154,0.002972
5,0.008192,0.008189,0.007274,0.003439,0.006725,0.002795,0.006795,0.003204
6,0.005165,0.008874,0.003739,0.003490,0.003585,0.003169,0.003341,0.003073
7,0.003494,0.010433,0.002124,0.003311,0.002053,0.003269,0.002257,0.003732
8,0.003627,0.010800,0.001917,0.003988,0.002271,0.003700,0.001915,0.004392
9,0.003494,0.010433,0.002124,0.003311,0.002053,0.003269,0.002257,0.003732
10,0.005165,0.008874,0.003739,0.003490,0.003585,0.003169,0.003341,0.003073
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252068,0.005712,0.252556,0.003132,0.252522,0.002675,0.252874,0.002798
2,0.080183,0.007771,0.081121,0.003070,0.081326,0.003122,0.081608,0.002989
