beta=0.20
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
3,0.030619,0.007928,0.031705,0.002810,0.031991,0.002870,0.031867,0.002909
4,0.013702,0.007700,0.014357,0.003052,0.014717,0.003188,0.014605,0.003177
5,0.007543,0.008408,0.007090,0.002891,0.007688,0.003005,0.006816,0.003521
6,0.004954,0.009456,0.004188,0.003009,0.004480,0.003749,0.003639,0.003600
7,0.004068,0.010588,0.002344,0.003576,0.003296,0.003552,0.002419,0.003649
8,0.003785,0.010861,0.001907,0.004649,0.003003,0.004065,0.002000,0.004687
9,0.004068,0.010588,0.002344,0.003576,0.003296,0.003552,0.002419,0.003649
10,0.004954,0.009456,0.004188,0.003009,0.004480,0.003749,0.003639,0.003600
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252849,0.005319,0.252738,0.002789,0.252887,0.002437,0.252468,0.002818
2,0.081621,0.006250,0.081427,0.002938,0.081331,0.002729,0.081109,0.003428
3,0.032560,0.006589,0.031575,0.002830,0.031639,0.002921,0.031870,0.003165
4,0.015573,0.006684,0.014032,0.002664,0.013998,0.002974,0.014355,0.003130
5,0.008591,0.007434,0.006534,0.003162,0.006835,0.002943,0.006793,0.003254
6,0.005175,0.009070,0.003307,0.003359,0.003093,0.002933,0.003759,0.003082
7,0.003528,0.010261,0.001801,0.003721,0.002167,0.003449,0.001963,0.003229
8,0.003436,0.010801,0.001436,0.004234,0.001883,0.004010,0.001335,0.003668
9,0.003528,0.010261,0.001801,0.003721,0.002167,0.003449,0.001963,0.003229
10,0.005175,0.009070,0.003307,0.003359,0.003093,0.002933,0.003759,0.003082
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.252573,0.004832,0.252929,0.002764,0.252908,0.002455,0.252679,0.002608
2,0.081035,0.006359,0.081553,0.002782,0.081436,0.002657,0.081311,0.002864
3,0.031581,0.006191,0.031961,0.002793,0.031847,0.002449,0.031721,0.002985
4,0.013771,0.006329,0.014297,0.002747,0.014084,0.002758,0.014185,0.003083
5,0.006281,0.007519,0.006854,0.003219,0.006789,0.002927,0.006613,0.003291
6,0.002664,0.008790,0.003615,0.003128,0.003946,0.002875,0.003034,0.003724
7,0.000902,0.009993,0.001833,0.003387,0.002039,0.003117,0.002121,0.004412
8,0.000595,0.010585,0.002041,0.004162,0.001699,0.003591,0.001754,0.005095
9,0.000902,0.009993,0.001833,0.003387,0.002039,0.003117,0.002121,0.004412
10,0.002664,0.008790,0.003615,0.003128,0.003946,0.002875,0.003034,0.003724
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.253235,0.005093,0.252290,0.002918,0.253224,0.002603,0.252553,0.002667
2,0.082782,0.006898,0.082105,0.003214,0.082145,0.002758,0.081021,0.003443
3,0.033050,0.006928,0.032810,0.003191,0.032329,0.002718,0.031628,0.003198
4,0.014353,0.007133,0.014801,0.003144,0.014574,0.002656,0.014300,0.003195
5,0.006439,0.007477,0.007335,0.003262,0.007668,0.002850,0.006831,0.003236
6,0.002772,0.008442,0.003942,0.003335,0.004401,0.002866,0.003218,0.003604
7,0.001479,0.009470,0.002652,0.003914,0.003170,0.002952,0.001833,0.003821
8,0.001001,0.010411,0.002179,0.004728,0.002628,0.003503,0.001984,0.004163
9,0.001479,0.009470,0.002652,0.003914,0.003170,0.002952,0.001833,0.003821
10,0.002772,0.008442,0.003942,0.003335,0.004401,0.002866,0.003218,0.003604
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.253043,0.004558,0.252732,0.002748,0.252612,0.002751,0.253111,0.002653
2,0.081708,0.006501,0.081398,0.002893,0.081529,0.002843,0.081529,0.003057
3,0.031832,0.007204,0.031684,0.002878,0.032239,0.002738,0.031710,0.003445
4,0.013945,0.007606,0.013851,0.003121,0.014699,0.002866,0.014305,0.003313
5,0.006475,0.007798,0.006791,0.002977,0.006870,0.002923,0.007188,0.003016
6,0.003204,0.008179,0.003613,0.003034,0.003183,0.003095,0.004368,0.002909
7,0.001570,0.008934,0.002270,0.003280,0.001937,0.003251,0.002356,0.003562
8,0.001188,0.009324,0.001609,0.003913,0.001472,0.004095,0.001890,0.004061
9,0.001570,0.008934,0.002270,0.003280,0.001937,0.003251,0.002356,0.003562
10,0.003204,0.008179,0.003613,0.003034,0.003183,0.003095,0.004368,0.002909
