beta=0.30
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.835668,0.034313,0.839283,0.003144,0.838803,0.004914,0.839116,0.003426
2,0.818454,0.051785,0.824323,0.003985,0.823706,0.006976,0.824025,0.004628
3,0.815441,0.063036,0.822901,0.004401,0.822024,0.008142,0.822490,0.005466
4,0.814047,0.071352,0.822639,0.004678,0.821812,0.009047,0.822210,0.006128
5,0.813263,0.076939,0.822560,0.004847,0.821733,0.009643,0.822189,0.006615
6,0.812709,0.080678,0.822601,0.004874,0.821700,0.009932,0.822125,0.006986
7,0.812434,0.082682,0.822559,0.004909,0.821669,0.010163,0.822110,0.007161
8,0.812198,0.083480,0.822541,0.004942,0.821656,0.010207,0.822134,0.007246
9,0.812434,0.082682,0.822559,0.004909,0.821669,0.010163,0.822110,0.007161
10,0.812709,0.080678,0.822601,0.004874,0.821700,0.009932,0.822125,0.006986
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.825800,0.055169,0.838751,0.007269,0.838801,0.005751,0.837261,0.021294
2,0.802460,0.088637,0.823500,0.011288,0.823570,0.008361,0.820585,0.038611
3,0.794128,0.115583,0.821720,0.014050,0.821966,0.009951,0.817407,0.055643
4,0.787875,0.139604,0.821345,0.016530,0.821705,0.011036,0.815608,0.071951
5,0.782716,0.160384,0.821103,0.018516,0.821558,0.011949,0.814141,0.086788
6,0.778700,0.176639,0.820964,0.020093,0.821553,0.012524,0.812902,0.098755
7,0.776154,0.186809,0.820879,0.021169,0.821482,0.012897,0.812109,0.106805
8,0.775302,0.190130,0.820866,0.021475,0.821455,0.013041,0.811872,0.109727
9,0.776154,0.186809,0.820879,0.021169,0.821482,0.012897,0.812109,0.106805
10,0.778700,0.176639,0.820964,0.020093,0.821553,0.012524,0.812902,0.098755
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.838205,0.020657,0.838877,0.003909,0.838879,0.003608,0.838801,0.004614
2,0.822757,0.027899,0.823825,0.005286,0.823770,0.005072,0.823854,0.006470
3,0.821021,0.031093,0.822270,0.006059,0.822220,0.005993,0.822219,0.007456
4,0.820841,0.032484,0.822021,0.006688,0.822005,0.006648,0.822010,0.008278
5,0.820739,0.032969,0.822002,0.007064,0.821963,0.007143,0.821938,0.008908
6,0.820770,0.032771,0.821942,0.007331,0.821980,0.007464,0.821892,0.009190
7,0.820766,0.032405,0.821904,0.007518,0.821901,0.007681,0.821870,0.009355
8,0.820794,0.032466,0.821921,0.007710,0.821878,0.007746,0.821812,0.009371
9,0.820766,0.032405,0.821904,0.007518,0.821901,0.007681,0.821870,0.009355
10,0.820770,0.032771,0.821942,0.007331,0.821980,0.007464,0.821892,0.009190
