beta=0.40
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.958581,0.017854,0.960407,0.004144,0.960396,0.003383,0.960225,0.006234
2,0.956453,0.023796,0.958719,0.006067,0.958704,0.005252,0.958399,0.009434
3,0.956073,0.026917,0.958513,0.007522,0.958483,0.006729,0.958114,0.011704
4,0.955887,0.028776,0.958385,0.008662,0.958359,0.007928,0.957952,0.013317
5,0.955796,0.029705,0.958313,0.009540,0.958276,0.008869,0.957819,0.014730
6,0.955761,0.030077,0.958232,0.010194,0.958203,0.009559,0.957713,0.015731
7,0.955785,0.029721,0.958190,0.010583,0.958167,0.009982,0.957652,0.016347
8,0.955772,0.029894,0.958182,0.010692,0.958155,0.010165,0.957641,0.016572
9,0.955785,0.029721,0.958190,0.010583,0.958167,0.009982,0.957652,0.016347
10,0.955761,0.030077,0.958232,0.010194,0.958203,0.009559,0.957713,0.015731
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.947527,0.052643,0.960585,0.003902,0.960491,0.003284,0.960167,0.007206
2,0.936470,0.091276,0.958874,0.006056,0.958836,0.005201,0.958132,0.012534
3,0.927833,0.126103,0.958650,0.007794,0.958629,0.006667,0.957608,0.017251
4,0.920036,0.158160,0.958498,0.009246,0.958485,0.007938,0.957199,0.021328
5,0.913286,0.186474,0.958389,0.010338,0.958394,0.008963,0.956857,0.024703
6,0.907998,0.209204,0.958309,0.011142,0.958315,0.009694,0.956607,0.027163
7,0.904793,0.223257,0.958251,0.011654,0.958272,0.010152,0.956462,0.028613
8,0.903762,0.227930,0.958239,0.011880,0.958262,0.010330,0.956407,0.029122
9,0.904793,0.223257,0.958251,0.011654,0.958272,0.010152,0.956462,0.028613
10,0.907998,0.209204,0.958309,0.011142,0.958315,0.009694,0.956607,0.027163
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.956277,0.029902,0.960632,0.002046,0.960535,0.003152,0.960519,0.003840
2,0.952830,0.044793,0.959042,0.002861,0.958868,0.004921,0.958835,0.005705
3,0.951483,0.054730,0.958930,0.003390,0.958674,0.006345,0.958665,0.006950
4,0.950572,0.061562,0.958885,0.003733,0.958556,0.007380,0.958559,0.007942
5,0.950029,0.065328,0.958868,0.003934,0.958506,0.008048,0.958470,0.008730
6,0.949733,0.066816,0.958867,0.004027,0.958453,0.008418,0.958390,0.009396
7,0.949649,0.067008,0.958846,0.004109,0.958440,0.008619,0.958365,0.009744
8,0.949614,0.067449,0.958852,0.004150,0.958435,0.008640,0.958341,0.009891
9,0.949649,0.067008,0.958846,0.004109,0.958440,0.008619,0.958365,0.009744
10,0.949733,0.066816,0.958867,0.004027,0.958453,0.008418,0.958390,0.009396
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.952805,0.038618,0.960425,0.003578,0.960227,0.006217,0.960491,0.003847
2,0.946685,0.061609,0.958693,0.005700,0.958297,0.010668,0.958804,0.005859
3,0.942951,0.079851,0.958480,0.007455,0.957860,0.014465,0.958614,0.007329
4,0.939771,0.095542,0.958317,0.008911,0.957519,0.017840,0.958487,0.008495
5,0.937142,0.108559,0.958226,0.009923,0.957259,0.020463,0.958395,0.009374
6,0.935135,0.118518,0.958135,0.010710,0.957069,0.022342,0.958330,0.010048
7,0.933804,0.125039,0.958105,0.011143,0.956955,0.023361,0.958270,0.010585
8,0.933306,0.127463,0.958079,0.011256,0.956921,0.023675,0.958262,0.010711
9,0.933804,0.125039,0.958105,0.011143,0.956955,0.023361,0.958270,0.010585
10,0.935135,0.118518,0.958135,0.010710,0.957069,0.022342,0.958330,0.010048
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.953908,0.035297,0.960558,0.002851,0.960537,0.002881,0.960504,0.002566
2,0.949106,0.053070,0.958901,0.004148,0.958862,0.004584,0.958881,0.003687
3,0.946878,0.065146,0.958751,0.005031,0.958645,0.005902,0.958736,0.004497
4,0.945234,0.074436,0.958689,0.005691,0.958552,0.006936,0.958684,0.005098
5,0.943963,0.081655,0.958647,0.006137,0.958473,0.007790,0.958633,0.005505
6,0.943051,0.086870,0.958617,0.006415,0.958408,0.008397,0.958607,0.005795
7,0.942488,0.090142,0.958604,0.006535,0.958371,0.008722,0.958591,0.005917
8,0.942263,0.091395,0.958578,0.006612,0.958369,0.008849,0.958592,0.005995
9,0.942488,0.090142,0.958604,0.006535,0.958371,0.008722,0.958591,0.005917
10,0.943051,0.086870,0.958617,0.006415,0.958408,0.008397,0.958607,0.005795
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.952785,0.037765,0.959945,0.008154,0.951796,0.026053,0.960667,0.002531
2,0.946592,0.060750,0.957952,0.013077,0.946757,0.036442,0.959086,0.003713
3,0.942638,0.079724,0.957493,0.016969,0.944918,0.041638,0.958943,0.004536
4,0.939175,0.096488,0.957173,0.020255,0.943883,0.044705,0.958863,0.005203
5,0.936194,0.110976,0.956900,0.022904,0.943184,0.046721,0.958822,0.005734
6,0.933924,0.122073,0.956707,0.024920,0.942781,0.047899,0.958792,0.006073
7,0.932482,0.129074,0.956575,0.026098,0.942547,0.048587,0.958773,0.006250
8,0.931975,0.131762,0.956550,0.026465,0.942489,0.048741,0.958762,0.006244
9,0.932482,0.129074,0.956575,0.026098,0.942547,0.048587,0.958773,0.006250
10,0.933924,0.122073,0.956707,0.024920,0.942781,0.047899,0.958792,0.006073
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.874851,0.020451,0.960554,0.002386,0.960292,0.006621,0.960433,0.003915
2,0.839563,0.032298,0.958963,0.003316,0.958265,0.011807,0.958675,0.006464
3,0.822844,0.041405,0.958838,0.003939,0.957757,0.016428,0.958411,0.008554
4,0.812958,0.048703,0.958788,0.004262,0.957335,0.020526,0.958222,0.010324
5,0.806528,0.054712,0.958771,0.004474,0.957008,0.023930,0.958072,0.011770
6,0.802377,0.058879,0.958765,0.004593,0.956733,0.026521,0.957959,0.012884
7,0.800069,0.061396,0.958738,0.004741,0.956577,0.028079,0.957899,0.013522
8,0.799187,0.062545,0.958757,0.004737,0.956539,0.028632,0.957882,0.013782
9,0.800069,0.061396,0.958738,0.004741,0.956577,0.028079,0.957899,0.013522
10,0.802377,0.058879,0.958765,0.004593,0.956733,0.026521,0.957959,0.012884
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.956244,0.029439,0.960607,0.001864,0.960396,0.003691,0.960521,0.003080
2,0.952731,0.045621,0.959057,0.002495,0.958676,0.005876,0.958870,0.004699
