beta=0.10
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
6,0.000214,0.001939,0.000266,0.002865,0.000297,0.002073,-0.000115,0.002379
7,0.000292,0.002411,0.000571,0.002646,-0.000213,0.002137,-0.000336,0.002842
8,0.000012,0.002813,0.000478,0.004016,0.000094,0.003267,-0.000285,0.003301
9,0.000292,0.002411,0.000571,0.002646,-0.000213,0.002137,-0.000336,0.002842
10,0.000214,0.001939,0.000266,0.002865,0.000297,0.002073,-0.000115,0.002379
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.103743,0.001972,0.103509,0.002709,0.103962,0.002408,0.103531,0.002730
2,0.011331,0.002111,0.011387,0.002399,0.011164,0.002643,0.010945,0.002784
3,0.001387,0.001873,0.001179,0.002717,0.000740,0.002386,0.001553,0.002688
4,0.000085,0.002150,-0.000184,0.002899,-0.000183,0.002369,0.000393,0.002844
5,0.000069,0.001970,-0.000155,0.002266,0.000058,0.002106,-0.000204,0.002510
6,0.000208,0.002101,-0.000521,0.002720,-0.000029,0.002077,-0.000531,0.002348
7,-0.000284,0.002542,-0.000323,0.002845,-0.000078,0.002280,-0.000194,0.002398
8,-0.000062,0.002603,-0.000418,0.003341,0.000274,0.003188,-0.000027,0.004479
9,-0.000284,0.002542,-0.000323,0.002845,-0.000078,0.002280,-0.000194,0.002398
10,0.000208,0.002101,-0.000521,0.002720,-0.000029,0.002077,-0.000531,0.002348
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104256,0.001940,0.103925,0.002981,0.103771,0.002246,0.103918,0.002471
2,0.011292,0.002097,0.011225,0.002737,0.011604,0.002657,0.011459,0.003073
3,0.001266,0.001571,0.000936,0.002466,0.000975,0.002333,0.001207,0.002962
4,0.000431,0.001813,-0.000146,0.002806,0.000088,0.002510,0.000050,0.002768
5,0.000323,0.001884,-0.000097,0.002501,0.000355,0.002262,0.000308,0.002832
6,0.000170,0.001999,-0.000339,0.002640,0.000212,0.002410,-0.000257,0.002665
7,0.000420,0.002323,0.000182,0.002853,-0.000377,0.002645,0.000088,0.002793
8,0.000167,0.002331,-0.000334,0.004011,-0.000442,0.002799,0.000124,0.003505
9,0.000420,0.002323,0.000182,0.002853,-0.000377,0.002645,0.000088,0.002793
10,0.000170,0.001999,-0.000339,0.002640,0.000212,0.002410,-0.000257,0.002665
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104269,0.001805,0.103845,0.002778,0.103972,0.002218,0.104754,0.002818
2,0.011493,0.002141,0.011174,0.002823,0.011479,0.002770,0.011245,0.002776
3,0.001221,0.001939,0.001643,0.002777,0.001385,0.002543,0.001493,0.002610
4,0.000109,0.001838,0.000366,0.002840,0.000365,0.002216,0.000591,0.002908
5,-0.000074,0.002094,0.000195,0.002794,-0.000229,0.002418,0.000009,0.002661
6,0.000075,0.001911,0.000006,0.002693,-0.000459,0.002298,-0.000176,0.003006
7,-0.000377,0.002698,0.000437,0.002841,-0.000160,0.002014,-0.000271,0.002602
8,-0.000431,0.002671,0.000722,0.003794,-0.000067,0.002944,-0.000358,0.003416
9,-0.000377,0.002698,0.000437,0.002841,-0.000160,0.002014,-0.000271,0.002602
10,0.000075,0.001911,0.000006,0.002693,-0.000459,0.002298,-0.000176,0.003006
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104119,0.001817,0.104358,0.002857,0.104158,0.002581,0.103552,0.002566
2,0.011239,0.001964,0.011253,0.002899,0.011487,0.002363,0.011110,0.002829
3,0.001454,0.001913,0.001469,0.002870,0.001324,0.002318,0.000978,0.002653
4,0.000095,0.001965,0.000214,0.002616,0.000243,0.002164,-0.000114,0.002513
5,0.000094,0.001932,0.000409,0.002681,-0.000188,0.002048,-0.000197,0.002729
6,0.000052,0.001916,0.000439,0.002669,0.000177,0.002170,-0.000130,0.002854
7,0.000135,0.002845,0.000080,0.002792,-0.000036,0.002081,-0.000001,0.003191
8,0.000391,0.002977,0.000347,0.003987,0.000148,0.003210,0.000817,0.003897
9,0.000135,0.002845,0.000080,0.002792,-0.000036,0.002081,-0.000001,0.003191
10,0.000052,0.001916,0.000439,0.002669,0.000177,0.002170,-0.000130,0.002854
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.103959,0.001931,0.103953,0.003231,0.104580,0.002487,0.104446,0.002697
2,0.011248,0.001983,0.011035,0.002316,0.011159,0.002351,0.011375,0.002573
3,0.001345,0.001888,0.001026,0.002528,0.001419,0.002449,0.001371,0.002849
4,-0.000469,0.001677,-0.000025,0.002717,0.000043,0.002056,-0.000291,0.002753
5,-0.000056,0.002039,-0.000184,0.002455,-0.000100,0.002509,0.000010,0.002857
6,-0.000116,0.002048,-0.000024,0.002511,0.000017,0.002251,0.000123,0.002512
7,-0.000306,0.002603,-0.000023,0.002491,0.000287,0.002270,-0.000052,0.002915
8,0.000055,0.002130,0.000235,0.003712,0.000120,0.002980,0.000376,0.003872
9,-0.000306,0.002603,-0.000023,0.002491,0.000287,0.002270,-0.000052,0.002915
10,-0.000116,0.002048,-0.000024,0.002511,0.000017,0.002251,0.000123,0.002512
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104220,0.001721,0.104040,0.003406,0.104282,0.002173,0.103859,0.003039
2,0.011343,0.002057,0.010982,0.002658,0.011232,0.002501,0.011364,0.002745
3,0.001234,0.001949,0.000909,0.002768,0.001256,0.002147,0.001630,0.002629
4,-0.000092,0.001566,0.000214,0.002440,0.000334,0.002155,0.000236,0.002765
5,-0.000174,0.001991,-0.000022,0.002879,0.000014,0.002408,-0.000308,0.002446
6,-0.000296,0.001579,0.000150,0.002730,-0.000312,0.002025,-0.000043,0.002645
7,-0.000024,0.002508,-0.000236,0.002812,0.000117,0.001764,-0.000008,0.002737
8,-0.000031,0.002550,0.000107,0.003751,0.000088,0.003001,-0.000487,0.003654
9,-0.000024,0.002508,-0.000236,0.002812,0.000117,0.001764,-0.000008,0.002737
10,-0.000296,0.001579,0.000150,0.002730,-0.000312,0.002025,-0.000043,0.002645
