beta=0.10
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104184,0.001752,0.104455,0.002809,0.104193,0.002315,0.103978,0.003148
2,0.011324,0.002307,0.011880,0.002475,0.011176,0.002314,0.011402,0.002608
3,0.001269,0.001765,0.001222,0.002787,0.000901,0.002341,0.001563,0.002548
4,0.000287,0.001982,0.000314,0.002521,0.000450,0.002403,0.000406,0.002702
5,0.000261,0.001892,0.000101,0.002484,0.000062,0.002358,0.000229,0.002579
6,0.000024,0.001954,-0.000084,0.002478,0.000072,0.002507,-0.000118,0.003150
7,0.000071,0.002594,-0.000213,0.002643,0.000211,0.002192,-0.000189,0.002544
8,0.000429,0.002671,0.000143,0.003912,0.000604,0.003546,0.000008,0.003944
9,0.000071,0.002594,-0.000213,0.002643,0.000211,0.002192,-0.000189,0.002544
10,0.000024,0.001954,-0.000084,0.002478,0.000072,0.002507,-0.000118,0.003150
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.103750,0.001754,0.104255,0.003057,0.104065,0.002309,0.104014,0.003116
2,0.011299,0.002080,0.011354,0.002563,0.011336,0.002628,0.011659,0.002656
3,0.000939,0.001946,0.001611,0.002969,0.000911,0.002211,0.001393,0.002618
4,-0.000078,0.001879,-0.000057,0.002923,0.000026,0.002694,0.000306,0.003023
5,-0.000068,0.002089,-0.000145,0.002680,0.000075,0.002493,0.000113,0.002889
6,0.000091,0.001956,-0.000176,0.002839,0.000103,0.002335,0.000110,0.002934
7,-0.000358,0.002483,-0.000527,0.002768,-0.000050,0.002155,0.000051,0.002636
8,-0.000510,0.002649,0.000148,0.003957,-0.000265,0.002952,-0.000163,0.003170
9,-0.000358,0.002483,-0.000527,0.002768,-0.000050,0.002155,0.000051,0.002636
10,0.000091,0.001956,-0.000176,0.002839,0.000103,0.002335,0.000110,0.002934
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.104213,0.001737,0.104138,0.003304,0.103821,0.002740,0.104040,0.002931
2,0.011479,0.002329,0.011344,0.002669,0.011374,0.002382,0.010856,0.002720
3,0.001161,0.002122,0.001221,0.002357,0.000818,0.002320,0.001301,0.002768
4,0.000212,0.001812,0.000070,0.002492,0.000427,0.002129,-0.000337,0.003070
5,-0.000113,0.001926,-0.000021,0.002487,-0.000109,0.002215,0.000205,0.002794
6,-0.000076,0.001820,-0.000011,0.002782,-0.000397,0.002534,-0.000020,0.002383
7,-0.000101,0.002582,0.000106,0.003008,0.000130,0.002333,0.000196,0.002571
8,-0.000309,0.002577,-0.000432,0.003420,-0.000016,0.003392,-0.000092,0.003826
9,-0.000101,0.002582,0.000106,0.003008,0.000130,0.002333,0.000196,0.002571
10,-0.000076,0.001820,-0.000011,0.002782,-0.000397,0.002534,-0.000020,0.002383
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.103768,0.001748,0.103743,0.003063,0.103996,0.002705,0.104843,0.002906
2,0.011483,0.002151,0.011040,0.002986,0.011516,0.002356,0.011865,0.002899
3,0.001572,0.001848,0.001400,0.002644,0.001204,0.002560,0.001492,0.002904
4,0.000019,0.001982,0.000273,0.002750,-0.000118,0.002641,0.000111,0.002908
5,0.000109,0.001916,0.000273,0.002351,-0.000347,0.002136,-0.000108,0.002671
