beta=0.60
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
5,0.932258,0.063620,0.945088,0.026409,0.945967,0.017806,0.945543,0.022402,0.945323,0.024406
6,0.929711,0.073697,0.944686,0.030379,0.945724,0.019876,0.945197,0.025779,0.944963,0.027962
7,0.927245,0.083426,0.944306,0.034169,0.945534,0.021804,0.944872,0.029034,0.944615,0.031290
8,0.924852,0.092885,0.943909,0.037850,0.945404,0.023372,0.944568,0.032079,0.944310,0.034251
9,0.922531,0.102015,0.943561,0.041374,0.945274,0.024678,0.944264,0.034973,0.944052,0.036921
10,0.920327,0.110883,0.943202,0.044780,0.945142,0.025829,0.943980,0.037769,0.943838,0.039165
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.891105,0.009412,0.954126,0.005909,0.952612,0.009783,0.953817,0.006919,0.950267,0.013398
2,0.825835,0.015827,0.948133,0.009895,0.945667,0.016459,0.947691,0.011990,0.941701,0.022958
3,0.766173,0.020611,0.946957,0.013321,0.943862,0.021587,0.946379,0.016610,0.938573,0.030388
4,0.707130,0.024310,0.946487,0.016451,0.942891,0.025823,0.945813,0.020900,0.936542,0.036642
5,0.648037,0.027083,0.946173,0.019338,0.942182,0.029347,0.945368,0.024971,0.934934,0.042028
6,0.588851,0.029070,0.945899,0.022074,0.941558,0.032454,0.944962,0.028913,0.933478,0.046931
7,0.529671,0.030182,0.945628,0.024653,0.941023,0.035161,0.944594,0.032616,0.932160,0.051445
8,0.470584,0.030198,0.945400,0.026922,0.940568,0.037466,0.944224,0.036103,0.930982,0.055553
9,0.411638,0.029315,0.945188,0.029052,0.940145,0.039570,0.943912,0.039392,0.929893,0.059354
10,0.353031,0.027390,0.944982,0.031022,0.939779,0.041424,0.943629,0.042376,0.928885,0.062791
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.950271,0.017340,0.954109,0.003992,0.950466,0.016107,0.951204,0.012502,0.953440,0.007905
2,0.941045,0.031542,0.948237,0.006229,0.941135,0.030731,0.943186,0.021385,0.947050,0.014151
3,0.936943,0.044204,0.947217,0.008168,0.936645,0.045014,0.940514,0.028367,0.945531,0.019762
4,0.933694,0.055934,0.946901,0.009912,0.932894,0.059221,0.938871,0.034216,0.944738,0.024974
5,0.930691,0.066957,0.946724,0.011418,0.929245,0.073368,0.937532,0.039449,0.944070,0.029982
6,0.927814,0.077514,0.946577,0.012743,0.925619,0.087388,0.936344,0.044293,0.943479,0.034786
7,0.925025,0.087670,0.946463,0.014019,0.922060,0.101319,0.935275,0.048736,0.942892,0.039380
