beta=0.40
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.553161,0.006412,0.552411,0.004303,0.552675,0.004562,0.552239,0.004666,0.552600,0.004377
2,0.363854,0.010566,0.362591,0.006497,0.363365,0.007612,0.362610,0.007066,0.363032,0.007338
3,0.260867,0.013815,0.259258,0.008277,0.260445,0.009922,0.259363,0.008792,0.260013,0.009665
4,0.195415,0.016300,0.193713,0.010005,0.195261,0.011457,0.193859,0.010398,0.195175,0.011587
5,0.150440,0.018175,0.148537,0.011305,0.150073,0.012782,0.148375,0.011383,0.150294,0.013527
6,0.117752,0.019889,0.115831,0.012500,0.117376,0.013841,0.115095,0.011763,0.117472,0.014814
7,0.093162,0.021504,0.091472,0.013445,0.092635,0.014779,0.090230,0.012852,0.093394,0.015897
8,0.074284,0.022962,0.073027,0.013939,0.073763,0.015643,0.071162,0.013592,0.074701,0.016586
9,0.059647,0.023940,0.058971,0.014144,0.058783,0.016030,0.056348,0.014155,0.060228,0.017207
10,0.047987,0.024955,0.048148,0.014433,0.046983,0.016310,0.044773,0.014688,0.048560,0.017530
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.552559,0.006385,0.552780,0.004595,0.552932,0.004336,0.552857,0.004632,0.552388,0.004050
2,0.362770,0.011243,0.363284,0.007723,0.363987,0.007030,0.363477,0.007506,0.362401,0.006463
3,0.259582,0.015090,0.259904,0.009927,0.261287,0.008950,0.260211,0.009343,0.259076,0.008213
4,0.194185,0.018186,0.194536,0.011309,0.196370,0.010421,0.194553,0.010609,0.193572,0.009598
5,0.148808,0.020509,0.149509,0.012570,0.151489,0.011774,0.149050,0.012008,0.148294,0.010835
6,0.115990,0.022381,0.116763,0.013631,0.118774,0.012925,0.116013,0.012664,0.115494,0.011489
7,0.090915,0.023862,0.091915,0.014363,0.094205,0.013774,0.091266,0.013090,0.091144,0.011961
8,0.071782,0.024639,0.073068,0.015052,0.075354,0.014442,0.072302,0.013498,0.072143,0.012640
9,0.056859,0.025352,0.058162,0.015711,0.060700,0.015050,0.057430,0.014043,0.057683,0.013235
10,0.044728,0.025992,0.046515,0.016037,0.049285,0.015637,0.045670,0.014607,0.046276,0.013775
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.552290,0.007337,0.552905,0.004612,0.553267,0.004996,0.552321,0.004513,0.552814,0.004319
2,0.362042,0.012338,0.363012,0.007523,0.363589,0.007997,0.362968,0.006823,0.363618,0.006950
3,0.258619,0.016240,0.260090,0.009492,0.260797,0.010228,0.260103,0.008272,0.260592,0.008730
4,0.193062,0.019187,0.194644,0.011145,0.195726,0.011938,0.194982,0.009454,0.195104,0.010103
5,0.147635,0.021578,0.149517,0.011909,0.150780,0.013159,0.149998,0.010295,0.149896,0.010910
6,0.114482,0.023576,0.116610,0.012493,0.118036,0.013897,0.117290,0.011225,0.116864,0.011880
7,0.089626,0.025002,0.092136,0.012986,0.093554,0.014376,0.092610,0.012020,0.092036,0.012940
8,0.070802,0.026147,0.073297,0.013519,0.074677,0.014793,0.073611,0.012568,0.073141,0.013557
9,0.055905,0.027633,0.058503,0.013977,0.059984,0.014872,0.059179,0.013102,0.058670,0.014010
10,0.044464,0.028798,0.046621,0.014287,0.048560,0.015023,0.047750,0.013529,0.047193,0.014506
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.551471,0.006931,0.552961,0.004257,0.552426,0.004456,0.552733,0.004542,0.553051,0.004543
2,0.361002,0.011730,0.363761,0.006767,0.362510,0.007425,0.363226,0.007168,0.363781,0.007519
3,0.257148,0.015229,0.260937,0.008722,0.259203,0.009359,0.260216,0.009042,0.260894,0.009684
4,0.191388,0.018097,0.195432,0.010352,0.193956,0.010986,0.195050,0.010333,0.195765,0.011631
5,0.145727,0.020248,0.150307,0.011813,0.148968,0.012076,0.149547,0.011430,0.150780,0.012889
6,0.112226,0.022312,0.117418,0.012718,0.116360,0.012745,0.116334,0.012438,0.118183,0.013585
7,0.086716,0.023733,0.092488,0.013234,0.091957,0.013388,0.091378,0.013214,0.093660,0.014066
8,0.067220,0.024968,0.073711,0.013543,0.073655,0.013467,0.072330,0.013724,0.074743,0.014398
9,0.052043,0.025815,0.059261,0.013931,0.058941,0.013368,0.057773,0.014011,0.059734,0.014712
10,0.040221,0.026315,0.047625,0.013781,0.047639,0.013825,0.045963,0.014199,0.048113,0.015124
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.551854,0.008358,0.553907,0.005263,0.553440,0.004848,0.552451,0.004561,0.553100,0.004830
