beta=0.50
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
8,0.816445,0.077382,0.805035,0.099119,0.827010,0.039150,0.827450,0.032506,0.826138,0.038192
9,0.815223,0.083132,0.802059,0.110393,0.826654,0.042005,0.827156,0.035079,0.825706,0.041141
10,0.814038,0.088279,0.799175,0.121521,0.826337,0.044634,0.826876,0.037365,0.825295,0.043813
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.850454,0.028880,0.871981,0.008736,0.869263,0.014074,0.871611,0.008127,0.867065,0.017625
2,0.805577,0.050434,0.842675,0.014533,0.837972,0.024367,0.842202,0.013904,0.833644,0.032895
3,0.784790,0.067372,0.833818,0.019126,0.827537,0.032544,0.833253,0.018702,0.820796,0.047166
4,0.771622,0.081628,0.830330,0.023300,0.822942,0.039329,0.829825,0.022878,0.813403,0.061216
5,0.761754,0.093874,0.828711,0.027039,0.820251,0.045310,0.828178,0.026810,0.807865,0.075089
6,0.753795,0.104503,0.827674,0.030571,0.818395,0.050688,0.827287,0.030369,0.803135,0.088920
7,0.746959,0.113855,0.826992,0.034044,0.816983,0.055727,0.826725,0.033724,0.798621,0.102677
8,0.741010,0.122260,0.826409,0.037310,0.815717,0.060393,0.826299,0.036732,0.794205,0.116536
9,0.735791,0.129813,0.825908,0.040398,0.814666,0.064669,0.825918,0.039591,0.789894,0.130399
10,0.731019,0.136563,0.825519,0.043308,0.813630,0.068694,0.825600,0.042402,0.785554,0.144374
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.864047,0.024103,0.872330,0.006925,0.871955,0.006204,0.871582,0.009325,0.870827,0.012482
2,0.828873,0.042294,0.843373,0.011471,0.842915,0.010530,0.842172,0.015891,0.840732,0.022194
3,0.815307,0.057017,0.834742,0.014967,0.834192,0.013819,0.833051,0.021612,0.831183,0.030522
4,0.807826,0.069720,0.831552,0.018056,0.830931,0.016640,0.829419,0.026669,0.827196,0.037985
5,0.802600,0.080968,0.830071,0.020886,0.829523,0.019178,0.827593,0.031216,0.824988,0.044925
6,0.798514,0.091113,0.829297,0.023431,0.828813,0.021502,0.826427,0.035470,0.823478,0.051465
7,0.794995,0.100419,0.828822,0.025631,0.828372,0.023556,0.825609,0.039509,0.822286,0.057713
8,0.791963,0.108908,0.828444,0.027624,0.828060,0.025409,0.825022,0.043247,0.821220,0.063745
9,0.789212,0.116818,0.828228,0.029346,0.827798,0.027022,0.824502,0.046776,0.820230,0.069494
10,0.786709,0.123973,0.828075,0.031051,0.827629,0.028607,0.824066,0.050047,0.819286,0.074973
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.870683,0.014111,0.868825,0.014517,0.864367,0.021106,0.871756,0.006679,0.863377,0.020275
2,0.840562,0.024602,0.837236,0.025245,0.828679,0.038961,0.842412,0.010940,0.827800,0.035373
3,0.831008,0.032908,0.826483,0.033864,0.813894,0.055511,0.833445,0.014340,0.814096,0.047218
4,0.827120,0.039834,0.821512,0.041008,0.804763,0.071399,0.830146,0.017164,0.806799,0.056926
5,0.825136,0.045621,0.818548,0.047436,0.797447,0.087239,0.828629,0.019686,0.801817,0.065231
6,0.823899,0.050362,0.816459,0.053443,0.790823,0.102985,0.827800,0.021842,0.798058,0.072511
7,0.823037,0.054549,0.814742,0.058667,0.784455,0.118583,0.827324,0.023726,0.794906,0.079223
8,0.822442,0.058089,0.813212,0.063834,0.778284,0.134143,0.827037,0.025441,0.792100,0.085394
9,0.821940,0.061329,0.811880,0.068635,0.772256,0.149640,0.826868,0.026954,0.789560,0.091027
10,0.821551,0.064286,0.810632,0.073195,0.766267,0.165203,0.826686,0.028211,0.787234,0.096317
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.865624,0.020504,0.871117,0.011238,0.871694,0.005434,0.871490,0.010136,0.869876,0.012676
2,0.831558,0.036656,0.841212,0.020155,0.842333,0.009356,0.841796,0.017083,0.838973,0.022799
3,0.818740,0.050401,0.831721,0.028194,0.833503,0.012449,0.832589,0.022865,0.828673,0.031882
4,0.811879,0.062728,0.827598,0.035656,0.830214,0.015026,0.828942,0.027923,0.823935,0.040320
5,0.806921,0.074077,0.825324,0.042942,0.828734,0.017145,0.827208,0.032443,0.821111,0.048546
6,0.802838,0.084751,0.823782,0.049954,0.827991,0.019009,0.826167,0.036576,0.818957,0.056632
7,0.799139,0.094986,0.822448,0.056678,0.827502,0.020713,0.825398,0.040251,0.817127,0.064587
8,0.795564,0.105139,0.821286,0.063237,0.827207,0.022222,0.824871,0.043665,0.815416,0.072314
9,0.792154,0.115128,0.820255,0.069652,0.826968,0.023631,0.824367,0.046953,0.813897,0.079762
10,0.788867,0.125043,0.819271,0.075955,0.826799,0.024805,0.823965,0.050048,0.812433,0.087165
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.862628,0.023157,0.871551,0.009159,0.871182,0.010624,0.870031,0.011539,0.871304,0.009431
2,0.826242,0.040993,0.842008,0.015569,0.841313,0.018711,0.839363,0.021011,0.841570,0.016449
3,0.811553,0.055250,0.832793,0.020931,0.831976,0.025489,0.829333,0.029813,0.832306,0.022461
4,0.803151,0.067477,0.829238,0.025547,0.828076,0.031507,0.824738,0.038369,0.828439,0.027772
5,0.797053,0.078223,0.827494,0.029498,0.826000,0.037059,0.822004,0.046826,0.826413,0.032838
6,0.792105,0.087972,0.826531,0.032922,0.824732,0.042342,0.820026,0.055130,0.825125,0.037543
7,0.787785,0.097041,0.825872,0.036118,0.823684,0.047425,0.818256,0.063309,0.824094,0.042104
8,0.783973,0.105304,0.825347,0.038930,0.822886,0.052308,0.816655,0.071595,0.823244,0.046573
9,0.780475,0.112976,0.824913,0.041502,0.822129,0.056869,0.815146,0.079775,0.822507,0.050939
10,0.777257,0.120012,0.824592,0.043714,0.821415,0.061201,0.813660,0.087799,0.821752,0.055035
