beta=0.50
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.866737,0.018344,0.871957,0.008718,0.867660,0.016398,0.871866,0.006531,0.870496,0.011174
2,0.833474,0.032670,0.842715,0.014757,0.835258,0.028627,0.842561,0.010854,0.840306,0.019675
3,0.821218,0.044758,0.833783,0.019871,0.824050,0.038176,0.833695,0.014363,0.830609,0.027018
4,0.814783,0.055429,0.830287,0.024240,0.818580,0.046443,0.830346,0.017500,0.826398,0.033539
5,0.810383,0.065204,0.828629,0.028209,0.815195,0.053725,0.828898,0.020254,0.824147,0.039677
6,0.806964,0.074237,0.827696,0.031842,0.812676,0.060296,0.828139,0.022613,0.822637,0.045401
7,0.803959,0.082618,0.827094,0.035111,0.810679,0.066119,0.827650,0.024658,0.821420,0.050811
8,0.801274,0.090387,0.826600,0.038388,0.808918,0.071407,0.827352,0.026335,0.820406,0.055997
9,0.798725,0.097726,0.826222,0.041336,0.807344,0.076248,0.827134,0.027917,0.819559,0.060808
10,0.796335,0.104403,0.825933,0.044261,0.805996,0.080602,0.826913,0.029316,0.818766,0.065405
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.862035,0.026970,0.870938,0.010312,0.870340,0.011468,0.870849,0.011801,0.862241,0.021689
2,0.824491,0.049235,0.840951,0.018139,0.839937,0.019909,0.840703,0.020552,0.825849,0.037617
3,0.808259,0.068901,0.831494,0.024712,0.830230,0.026681,0.831107,0.028061,0.811554,0.050121
4,0.797936,0.087345,0.827575,0.030771,0.826134,0.032315,0.826989,0.034748,0.803700,0.060465
5,0.789595,0.105031,0.825442,0.036229,0.823935,0.037524,0.824810,0.040931,0.798281,0.069369
6,0.782050,0.122202,0.824030,0.041473,0.822492,0.042229,0.823334,0.046766,0.793931,0.077341
7,0.775083,0.138733,0.823005,0.046490,0.821413,0.046504,0.822166,0.052162,0.790423,0.084325
8,0.768422,0.154811,0.822137,0.051284,0.820398,0.050435,0.821211,0.057426,0.787434,0.090483
9,0.762019,0.170580,0.821303,0.055837,0.819543,0.054199,0.820315,0.062532,0.784894,0.095949
10,0.755706,0.185857,0.820489,0.060220,0.818844,0.057632,0.819515,0.067418,0.782619,0.100741
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.867063,0.020416,0.870492,0.010913,0.869336,0.013774,0.872166,0.004595,0.871069,0.010470
2,0.833594,0.037020,0.840240,0.019359,0.838164,0.023776,0.843144,0.007403,0.841075,0.018577
3,0.820930,0.051531,0.830543,0.026884,0.827844,0.031589,0.834501,0.009565,0.831488,0.025587
4,0.814004,0.064910,0.826381,0.033712,0.823242,0.038233,0.831335,0.011392,0.827503,0.031871
5,0.809065,0.077347,0.823948,0.040284,0.820567,0.043942,0.829925,0.012983,0.825360,0.037655
6,0.805065,0.088942,0.822283,0.046630,0.818756,0.049055,0.829147,0.014398,0.824001,0.043276
7,0.801467,0.099863,0.820941,0.052726,0.817348,0.053795,0.828772,0.015642,0.822866,0.048636
8,0.798275,0.109933,0.819756,0.058775,0.816162,0.058061,0.828478,0.016854,0.821991,0.053698
9,0.795351,0.119366,0.818646,0.064609,0.815122,0.061978,0.828226,0.017871,0.821231,0.058552
10,0.792579,0.128014,0.817587,0.070303,0.814206,0.065480,0.828035,0.018917,0.820534,0.063038
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.868246,0.018425,0.871720,0.009442,0.871063,0.009657,0.871168,0.009867,0.872236,0.005357
2,0.835795,0.032764,0.842357,0.016371,0.841325,0.016935,0.841627,0.016703,0.843145,0.009015
3,0.824175,0.044808,0.833335,0.022172,0.832027,0.023322,0.832433,0.022311,0.834441,0.011727
4,0.818277,0.055487,0.829836,0.027345,0.828117,0.028985,0.828724,0.027045,0.831255,0.013901
5,0.814246,0.065356,0.828052,0.032011,0.826141,0.034319,0.826860,0.031114,0.829842,0.015581
6,0.810990,0.074746,0.826953,0.036486,0.824862,0.039349,0.825724,0.034842,0.829127,0.016905
7,0.808113,0.083500,0.826171,0.040670,0.823912,0.044200,0.824927,0.038214,0.828733,0.017971
8,0.805513,0.091748,0.825549,0.044672,0.823124,0.048745,0.824359,0.041492,0.828545,0.018735
9,0.803089,0.099380,0.825018,0.048537,0.822434,0.053093,0.823797,0.044612,0.828450,0.019311
10,0.800805,0.106547,0.824585,0.052189,0.821760,0.057231,0.823339,0.047516,0.828394,0.019609
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.869888,0.017079,0.868704,0.016159,0.872102,0.008137,0.871841,0.007798,0.871763,0.008821
2,0.838944,0.029822,0.836642,0.029355,0.842852,0.014198,0.842685,0.012981,0.842390,0.015259
3,0.828704,0.039927,0.825091,0.041589,0.834001,0.019336,0.834019,0.017085,0.833532,0.020349
4,0.824099,0.048698,0.818978,0.053307,0.830607,0.024001,0.830695,0.020748,0.830017,0.024777
5,0.821435,0.056803,0.814778,0.064876,0.828986,0.028320,0.829196,0.024014,0.828292,0.028624
6,0.819457,0.064242,0.811264,0.076347,0.828080,0.032187,0.828408,0.026943,0.827286,0.032032
7,0.817848,0.070987,0.808064,0.087848,0.827465,0.035812,0.827874,0.029835,0.826661,0.035241
