beta=0.30
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352165,0.002821,0.352186,0.002573,0.352413,0.002190,0.352273,0.002910,0.351850,0.002017
2,0.141355,0.003681,0.141570,0.003037,0.141542,0.002826,0.141711,0.002905,0.140864,0.002523
3,0.061996,0.004171,0.061986,0.002706,0.062307,0.002620,0.061681,0.002608,0.061714,0.002462
4,0.028687,0.004196,0.028749,0.003297,0.028615,0.002445,0.028205,0.002744,0.028496,0.003041
5,0.013897,0.004063,0.013523,0.003162,0.013637,0.002468,0.013175,0.002904,0.013482,0.002618
6,0.007260,0.003769,0.006432,0.002953,0.006441,0.002552,0.006255,0.003180,0.006384,0.002766
7,0.003818,0.003851,0.003158,0.003014,0.003254,0.002602,0.002667,0.002998,0.002750,0.002752
8,0.002443,0.004064,0.001480,0.002862,0.001608,0.002478,0.001311,0.002925,0.001266,0.002740
9,0.001494,0.004425,0.000630,0.002686,0.000859,0.002572,0.000818,0.002761,0.000546,0.002894
10,0.000746,0.004745,0.000436,0.002898,0.000486,0.002767,0.000316,0.002799,0.000227,0.002755
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352214,0.002711,0.352145,0.002972,0.352345,0.002042,0.351594,0.002529,0.351920,0.002204
2,0.141462,0.003528,0.141150,0.003164,0.141400,0.002458,0.140866,0.002625,0.141097,0.002460
3,0.061946,0.003874,0.061711,0.002920,0.061724,0.002614,0.061311,0.002724,0.061721,0.002767
4,0.028486,0.004114,0.028578,0.002722,0.028708,0.002836,0.028511,0.002817,0.028517,0.002624
5,0.013563,0.004172,0.013324,0.003143,0.013826,0.002428,0.013465,0.002706,0.013960,0.002837
6,0.006742,0.004058,0.006405,0.003093,0.006546,0.002412,0.006493,0.002790,0.006979,0.002850
7,0.003443,0.003712,0.003153,0.003020,0.003275,0.002252,0.003447,0.002832,0.003437,0.002750
8,0.001656,0.003890,0.001755,0.003003,0.001364,0.002239,0.002019,0.002892,0.001793,0.002922
9,0.001076,0.003498,0.000819,0.002970,0.000558,0.002400,0.001064,0.002873,0.000795,0.002647
10,0.000694,0.003200,0.000017,0.002955,0.000149,0.002499,0.000542,0.002615,0.000127,0.002502
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352535,0.003057,0.352349,0.003111,0.352549,0.002348,0.352317,0.002775,0.352309,0.002483
2,0.141948,0.003699,0.141468,0.003198,0.141542,0.002742,0.141737,0.003317,0.141677,0.002604
3,0.062386,0.003580,0.061679,0.003179,0.061725,0.002813,0.061834,0.003219,0.062307,0.002580
4,0.029072,0.003543,0.028155,0.002960,0.028217,0.002509,0.028751,0.002900,0.029042,0.003011
5,0.014060,0.003786,0.013172,0.002861,0.013445,0.002413,0.013755,0.003026,0.014164,0.002880
6,0.006723,0.003658,0.006653,0.002667,0.006473,0.002667,0.006599,0.002869,0.006966,0.002819
7,0.003474,0.003719,0.003065,0.002710,0.002928,0.002862,0.003263,0.003243,0.003467,0.002787
