beta=0.30
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
8,0.002076,0.003902,0.001290,0.002721,0.001326,0.002976,0.001827,0.003242,0.001954,0.002995
9,0.000944,0.003942,0.000473,0.003313,0.000643,0.002635,0.000843,0.003131,0.000900,0.002573
10,0.000590,0.004211,0.000216,0.003229,0.000028,0.002551,0.000311,0.002701,0.000543,0.002476
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352171,0.002661,0.352023,0.002865,0.352600,0.001991,0.352371,0.002659,0.352353,0.001934
2,0.141194,0.003601,0.141465,0.003198,0.141615,0.002418,0.141105,0.002763,0.141448,0.002173
3,0.061641,0.003840,0.062144,0.002764,0.061875,0.002110,0.061555,0.002708,0.062083,0.002604
4,0.028197,0.003819,0.028516,0.002981,0.028504,0.002399,0.028353,0.003068,0.028539,0.002886
5,0.013047,0.004045,0.013487,0.002913,0.013758,0.002285,0.013114,0.002707,0.013617,0.002725
6,0.005956,0.003907,0.006561,0.003015,0.006820,0.002841,0.006004,0.002763,0.006903,0.002643
7,0.002796,0.003951,0.003485,0.002838,0.003447,0.002398,0.002901,0.003056,0.003573,0.002811
8,0.001056,0.004009,0.001969,0.002805,0.002111,0.002567,0.001230,0.003169,0.001434,0.002619
9,0.000166,0.003939,0.000955,0.002980,0.001313,0.002397,0.000598,0.003268,0.000799,0.002681
10,-0.000171,0.004071,0.000454,0.002946,0.000534,0.002519,0.000402,0.002762,0.000579,0.002349
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.351840,0.002531,0.352304,0.002602,0.352362,0.002195,0.352115,0.002437,0.352492,0.002149
2,0.140796,0.003413,0.141282,0.002720,0.141545,0.002422,0.141459,0.002735,0.141508,0.002508
3,0.061160,0.003561,0.061531,0.002997,0.062284,0.002587,0.062155,0.003135,0.061683,0.002581
4,0.027701,0.003860,0.028118,0.003110,0.028772,0.002643,0.028740,0.003179,0.028457,0.002659
5,0.012934,0.003649,0.013254,0.003063,0.013645,0.002489,0.013593,0.002942,0.013972,0.002694
6,0.006305,0.003308,0.006265,0.003010,0.006934,0.002575,0.006217,0.002797,0.007010,0.002530
7,0.003390,0.003691,0.002803,0.002920,0.003377,0.002430,0.003236,0.002868,0.003471,0.002712
8,0.001471,0.004139,0.001716,0.003016,0.001743,0.002659,0.001919,0.002915,0.001247,0.002722
9,0.000564,0.004077,0.000673,0.002878,0.001225,0.002800,0.001148,0.002869,0.000311,0.002706
10,0.000281,0.003936,0.000595,0.002961,0.000569,0.002756,0.001109,0.003106,0.000050,0.002522
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.351927,0.002503,0.351824,0.002774,0.352303,0.002304,0.352052,0.002921,0.352729,0.002521
2,0.140557,0.003295,0.141223,0.003107,0.141295,0.002623,0.141328,0.002952,0.141953,0.002977
3,0.061011,0.003604,0.062137,0.003012,0.061816,0.002497,0.061786,0.003008,0.062347,0.002808
4,0.027705,0.003916,0.028818,0.003033,0.028553,0.002455,0.028315,0.003284,0.028653,0.003055
5,0.012893,0.003912,0.013337,0.002837,0.013558,0.002749,0.013456,0.003007,0.013558,0.002880
6,0.006347,0.004122,0.006487,0.002974,0.006836,0.002736,0.006701,0.003003,0.006609,0.003044
7,0.003017,0.003917,0.003201,0.002775,0.003426,0.002648,0.003488,0.002982,0.003324,0.003150
8,0.001664,0.003773,0.001776,0.002660,0.001633,0.002585,0.001781,0.002979,0.001619,0.003051
9,0.001062,0.004004,0.000805,0.002699,0.000467,0.002628,0.000813,0.003096,0.001021,0.002687
10,0.000839,0.004401,0.000565,0.002815,0.000105,0.002717,0.000474,0.002959,0.000461,0.002995
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352283,0.002581,0.351965,0.002858,0.352496,0.002363,0.352095,0.002882,0.351690,0.002315
2,0.141172,0.003250,0.141481,0.003296,0.141008,0.002451,0.141120,0.003346,0.140838,0.002655
3,0.061674,0.003606,0.061855,0.002910,0.061418,0.002343,0.062058,0.002860,0.061477,0.002525
4,0.028163,0.003513,0.028314,0.003189,0.028160,0.002541,0.028725,0.002709,0.028492,0.002870
5,0.013346,0.003844,0.013094,0.003021,0.013322,0.002519,0.013490,0.002805,0.013432,0.002632
6,0.006186,0.004074,0.006467,0.002913,0.006545,0.002539,0.006509,0.002866,0.006541,0.002627
7,0.002658,0.004226,0.003219,0.003052,0.002831,0.002304,0.003321,0.002876,0.002997,0.002532
8,0.001103,0.004103,0.001691,0.003082,0.001194,0.002418,0.001260,0.002888,0.001359,0.002674
9,0.000032,0.004023,0.000923,0.003237,0.000597,0.002755,0.000498,0.003101,0.000510,0.002625
10,-0.000228,0.003775,0.000128,0.002891,0.000197,0.002486,0.000263,0.003111,0.000302,0.002631
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352421,0.002509,0.352274,0.002788,0.352123,0.002253,0.352450,0.002620,0.352265,0.002136
2,0.141529,0.003162,0.141400,0.002478,0.141505,0.002860,0.141311,0.003217,0.141519,0.002641
3,0.061558,0.003363,0.062164,0.002475,0.061912,0.002572,0.061813,0.003066,0.061863,0.002358
4,0.027878,0.003708,0.028517,0.002788,0.028981,0.002691,0.028523,0.002399,0.028750,0.002680
5,0.012961,0.003723,0.013824,0.002942,0.014112,0.002466,0.013335,0.002800,0.013734,0.002464
6,0.006254,0.003902,0.006412,0.002918,0.007093,0.002640,0.006456,0.003081,0.006643,0.002817
7,0.003066,0.004246,0.002900,0.002993,0.003709,0.002678,0.003051,0.002722,0.003423,0.002683
8,0.001245,0.004525,0.000866,0.002926,0.002041,0.002695,0.001069,0.003044,0.002052,0.002602
9,0.000463,0.004328,0.000509,0.003237,0.001148,0.002324,0.000180,0.002946,0.001009,0.002512
10,0.000342,0.004118,0.000327,0.003146,0.000326,0.002544,0.000007,0.002970,0.000569,0.002735
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.352727,0.002591,0.352401,0.002803,0.352119,0.002233,0.352361,0.002980,0.352011,0.002483
2,0.141601,0.003526,0.141491,0.003426,0.141147,0.002415,0.140958,0.003093,0.141066,0.002518
3,0.061717,0.003823,0.061713,0.003180,0.061717,0.002510,0.061931,0.002940,0.061608,0.002489
4,0.028316,0.003807,0.028123,0.002732,0.028365,0.002755,0.029003,0.003126,0.028240,0.002621
5,0.013703,0.004035,0.013656,0.002826,0.013287,0.002231,0.013918,0.003197,0.013495,0.002621
6,0.006641,0.004174,0.006419,0.002817,0.006329,0.002680,0.007089,0.002995,0.006862,0.002616
7,0.003067,0.004228,0.002818,0.003300,0.003055,0.002584,0.003494,0.002998,0.003513,0.002807
8,0.001136,0.004293,0.001260,0.003266,0.001381,0.002814,0.002057,0.003118,0.001617,0.003090
9,0.000815,0.004351,0.000544,0.002846,0.000572,0.002520,0.001344,0.003595,0.000850,0.002886
10,0.000455,0.004261,0.000152,0.002859,0.000292,0.002359,0.000752,0.003453,0.000585,0.002911
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.351984,0.002755,0.351845,0.002921,0.352590,0.002209,0.351946,0.002760,0.351902,0.002217
2,0.140916,0.003823,0.140573,0.003065,0.141602,0.002332,0.141025,0.003069,0.141168,0.002511
3,0.061658,0.003862,0.061191,0.003054,0.062246,0.002444,0.061509,0.003117,0.061291,0.002641
4,0.028216,0.003902,0.028059,0.003207,0.028612,0.002683,0.028575,0.003390,0.028200,0.002782
5,0.013363,0.003639,0.013113,0.003183,0.013765,0.002507,0.013560,0.003136,0.012944,0.002220
6,0.006600,0.003712,0.006097,0.003126,0.006495,0.002345,0.006332,0.003051,0.006000,0.002345
7,0.003338,0.004402,0.002971,0.002936,0.003240,0.002584,0.003516,0.002950,0.002907,0.002690
8,0.001858,0.004546,0.001204,0.002614,0.001749,0.002615,0.001810,0.003060,0.001481,0.002689
9,0.001099,0.004280,0.000446,0.002693,0.000815,0.002561,0.000816,0.002911,0.000810,0.002440
10,0.000553,0.003756,0.000338,0.003010,0.000182,0.002381,0.000400,0.002781,0.000333,0.002626
