beta=0.10
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.101471,0.001541,0.101878,0.004340,0.101784,0.002869,0.102370,0.003768,0.101725,0.002582
2,0.010826,0.001408,0.010521,0.003113,0.010921,0.002714,0.010355,0.003334,0.010192,0.002679
3,0.000960,0.001425,0.001535,0.003074,0.001585,0.002512,0.000763,0.002424,0.001094,0.002677
4,0.000224,0.001777,0.000024,0.003116,-0.000203,0.002594,0.000436,0.003203,0.000185,0.003171
5,-0.000279,0.001962,-0.000043,0.003222,-0.000457,0.002193,0.000038,0.002863,-0.000040,0.002532
6,0.000044,0.001775,-0.000514,0.003082,-0.000271,0.002255,-0.000131,0.003151,-0.000121,0.002300
7,-0.000193,0.001755,0.000056,0.003146,-0.000122,0.002515,-0.000145,0.002885,0.000278,0.002372
8,-0.000078,0.001600,0.000227,0.003034,-0.000005,0.002477,-0.000493,0.003307,-0.000443,0.003144
9,-0.000051,0.001605,0.000184,0.003116,0.000361,0.002212,0.000230,0.003162,-0.000332,0.003133
10,0.000110,0.001590,-0.000178,0.003002,-0.000293,0.002642,-0.000632,0.002924,0.000067,0.002544
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.101541,0.001578,0.102496,0.003755,0.101561,0.002871,0.101708,0.003833,0.101596,0.003021
2,0.010594,0.001697,0.010975,0.003011,0.011073,0.002509,0.010302,0.003003,0.010855,0.002856
3,0.001107,0.001594,0.000944,0.003141,0.001076,0.002451,0.000580,0.002970,0.000893,0.002740
4,0.000162,0.001479,0.000441,0.003055,-0.000334,0.002546,0.000187,0.003249,0.000497,0.003090
5,-0.000063,0.001741,0.000454,0.002693,0.000292,0.002434,0.000131,0.002895,0.000296,0.002255
6,-0.000120,0.001683,-0.000067,0.002784,0.000109,0.002622,-0.000102,0.003211,0.000019,0.002465
