beta=0.20
separation,avg_random,sd_random,avg_order,sd_order,avg_hilbert,sd_hilbert,avg_lebesgue,sd_lebesgue,avg_gcurve,sd_gcurve
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.214024,0.001915,0.213841,0.002764,0.214288,0.002235,0.214237,0.002964,0.214025,0.002542
2,0.049479,0.002063,0.049032,0.002514,0.049062,0.001921,0.049557,0.002952,0.049341,0.002248
3,0.011975,0.001857,0.012026,0.002319,0.012015,0.001975,0.012324,0.002627,0.011860,0.001878
4,0.003393,0.002127,0.003037,0.001990,0.003243,0.002244,0.003111,0.002358,0.002906,0.002392
5,0.000750,0.002213,0.000867,0.002747,0.001154,0.002118,0.000629,0.002639,0.000574,0.002240
6,0.000037,0.002055,-0.000420,0.002448,0.000802,0.002064,0.000288,0.002599,0.000046,0.002237
7,-0.000247,0.001990,0.000361,0.002512,0.000342,0.001865,-0.000165,0.002566,-0.000201,0.002120
8,0.000015,0.002274,0.000227,0.002242,0.000009,0.002176,0.000407,0.002326,-0.000283,0.002406
9,0.000074,0.002430,-0.000058,0.002186,0.000100,0.001969,-0.000330,0.002422,-0.000221,0.002172
10,0.000014,0.002117,-0.000050,0.002328,0.000015,0.002087,-0.000097,0.002573,0.000475,0.001922
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.213888,0.001919,0.213904,0.003217,0.214031,0.002172,0.214142,0.003117,0.214103,0.002420
2,0.048932,0.001960,0.048579,0.002718,0.049043,0.002068,0.049222,0.002890,0.049135,0.002197
3,0.011843,0.001887,0.011563,0.002391,0.011818,0.002079,0.011825,0.002499,0.012243,0.002004
4,0.002973,0.001924,0.002943,0.002424,0.002638,0.002098,0.003161,0.002562,0.003315,0.002248
5,0.000768,0.001835,0.000763,0.002541,0.000497,0.002189,0.000730,0.002437,0.000714,0.002112
6,0.000340,0.002191,0.000390,0.002638,0.000194,0.002087,0.000077,0.002345,0.000045,0.002107
7,-0.000062,0.002068,0.000254,0.002408,0.000173,0.002081,0.000357,0.002421,0.000150,0.002015
8,0.000296,0.002012,-0.000032,0.002338,-0.000015,0.002060,0.000082,0.002462,-0.000153,0.002401
9,0.000148,0.002169,-0.000073,0.002317,0.000099,0.002077,0.000129,0.002169,-0.000033,0.002203
10,-0.000024,0.002009,-0.000214,0.002504,0.000010,0.002130,0.000014,0.002440,-0.000147,0.002093
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
1,0.214053,0.002008,0.214753,0.002934,0.214184,0.002199,0.214585,0.003176,0.214277,0.002410
2,0.049200,0.001985,0.049215,0.002798,0.049346,0.002158,0.049393,0.002621,0.049008,0.002487
3,0.011976,0.002243,0.011595,0.002406,0.012027,0.002184,0.011983,0.002651,0.011085,0.002157
4,0.003169,0.002093,0.002920,0.002635,0.002739,0.002082,0.003368,0.002536,0.002824,0.002577
5,0.001001,0.002307,0.000716,0.002534,0.000187,0.001969,0.001222,0.002382,0.000841,0.002076
6,0.000373,0.002130,0.000113,0.002129,-0.000018,0.001969,-0.000160,0.002346,0.000364,0.001915
7,0.000345,0.001980,0.000451,0.002248,0.000183,0.001855,-0.000044,0.002575,0.000033,0.002125
8,0.000181,0.002028,0.000558,0.002595,0.000230,0.002169,-0.000047,0.002400,0.000132,0.002353
9,0.000260,0.002210,0.000300,0.002686,0.000524,0.001980,-0.000003,0.002727,0.000180,0.001916
10,0.000219,0.001939,0.000380,0.002379,0.000094,0.002118,-0.000020,0.002301,0.000356,0.002350
